seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,k7,n0,n1,n2,n3,n4,n5,n6,n7,x
1,9.385614,75,1050041,1.123680844974019,3.475895479648508,2.092554419686484,4.041555628875336,2.886028389782759,0.716117770779109,0.696172914112503,0.802381991872617,0.999999999999997,0.683565424111143,0.892565252084262,0.343671645681110,0.394614067329899,11.404063149799664,24.747257562494727,3.125396878899481,1.524471904780553,2.286448384063117,6.438996465285110,24.591301906683014,4.836442346211212,9.385614063444316
0,9.385614,75,1050041,1.123680844974019,3.475895479648508,2.092554419686484,4.041555628875336,2.886028389782759,0.716117770779109,0.696172914112503,0.802381991872617,0.999999999999997,0.683565424111143,0.892565252084262,0.343671645681110,0.394614067329899,11.404063149799664,24.747257562494727,3.125396878899481,1.524471904780553,2.286448384063117,6.438996465285110,24.591301906683014,4.836442346211212,9.385614063444316
2,7.555456,79,1050041,1.400038208318280,3.749405231944775,2.789412261097444,3.837757908866546,3.505168065738435,0.718175241938793,0.614596280026271,0.599593624645990,0.999998929122818,0.674924533676602,0.852759491371618,0.462658967629193,0.128494979617028,17.341925148523831,10.478756446847851,3.607855568756565,2.431778746682812,2.535361066863904,6.190938740899535,5.436562731634076,24.830196923712851,7.555455632843871
3,8.767847,84,1050041,1.327803917245886,3.765025146315958,2.045642659798671,3.796673604826279,1.969819432318629,0.747092537127011,0.691817714651468,0.688760448434999,0.999968820276345,0.726898093232914,0.844364698116645,0.283197997216264,0.377961240948495,14.444070456394454,24.659681577353271,2.209146863720025,2.150601072468178,2.657735489952504,6.324842489504505,24.527932355946681,3.691355167763167,8.767847332764270
5,8.523847,78,1050041,0.810663841515126,3.081938609430446,0.971959410636796,3.500429839072670,4.842103282205368,0.464773708864614,0.417062162513485,0.735759679325866,0.994523661869347,0.746682269187176,0.869105046808858,0.552811990515450,0.603399413559085,4.548748209347957,7.698904499751945,1.790401109998726,3.695050817587037,2.808525308730006,4.442075222191331,24.148549613280675,12.938044588701076,8.523846501740345
7,8.623312,78,1050041,1.127693480141481,3.482883251224107,2.298576408773456,4.103611654595352,2.421763676751646,0.740060335957731,0.721770458254042,0.765342030243254,0.999999999999999,0.747289684651935,0.860780186880777,0.334372177501136,0.351927066824412,12.692245398869127,24.264678205767186,4.966651267395970,1.432713004330594,2.689339295578748,5.972261049948405,24.465756691753917,3.632313922580356,8.623311929678475
4,8.370961,79,1050041,1.343931626802808,3.740183234870790,2.091627098199960,4.368968615487145,1.968055688059362,0.718671626514635,0.662842627475567,0.683929410499080,0.997747389739068,0.649569433789510,0.854165035023900,0.292577333168383,0.341602340850892,17.254778065714159,24.295591005954925,2.601592431496000,2.202014983451026,3.294643836045123,8.719615931295347,24.503143728669606,2.280618579357100,8.370961040988735
6,8.797971,83,1050041,1.347629177713370,3.762424549929904,2.068697341578924,3.910905345107834,1.934157086797190,0.750070233679643,0.686517976587954,0.682459911362205,0.999864145954015,0.712948368331912,0.850575390907017,0.281545543355038,0.381775991498147,16.158044807283300,24.180411711213462,2.690351354449901,2.283572545050722,2.384617038307613,6.276594220252332,24.175734925478995,3.860123080207246,8.797970685659965
11,9.702224,75,1050041,1.402565641864776,3.781644786335150,2.197390173565559,3.327331512898824,3.696912123337095,0.699753269644564,0.623390550303575,0.595766147615322,0.981512735298697,0.720152296086553,0.861212526913263,0.484198715822511,0.100211562603415,17.221870675616418,14.169270916008649,2.570747660848554,3.275489588957375,2.888804397336363,5.571206544518733,5.627361092492520,17.553998933541219,9.702223710142888
8,9.559519,80,1050041,1.454029425647329,3.862508142275799,2.175081587904495,3.592885743752255,1.807828859261881,0.745377924644199,0.666608499411405,0.592547606974375,0.999968591886096,0.702532723184000,0.858516086880534,0.261829722546817,0.375897597497502,17.864376525473279,24.036019906010519,2.424370729411460,3.733129802286251,2.728126257446602,7.463325607694507,24.900900665549993,3.409285498406023,9.559518840925749
9,8.946338,86,1050041,1.404655379052559,3.773346199280018,2.524120236042106,3.127218033313834,1.654563795137335,0.752878475659372,0.691983401470706,0.647706197195609,0.999999999999999,0.997948342028645,0.845070495068970,0.250522864654845,0.377395562643450,16.334469463183012,24.191294608017102,3.741668985626024,2.225102446910840,1.331604647942066,6.263778758987545,24.463188706743299,3.483763879633715,8.946338371785110
10,9.184456,86,1050041,1.357133124697760,3.775032507065759,1.997276362561010,3.330277231875829,1.791276448385556,0.746404588761751,0.688419960505680,0.691749891005340,0.999998860577054,0.999999460329703,0.840996386120556,0.285303345775901,0.379847662812667,15.351416005482821,24.410051846480126,2.172553011126670,2.907437086411463,1.581687224749003,7.021530123666943,24.346709981401833,3.660096940452399,9.184455946120316
12,9.697186,75,1050041,1.416191023393290,3.845731242076430,2.256280185709655,3.453444424252303,3.757511076407712,0.709743540538094,0.620018104375562,0.568006620329052,0.998590957170980,0.691119813546215,0.871585825762123,0.494560169637157,0.119658501236786,18.198820205275698,13.728704025812856,2.911238242772098,3.603455345269901,2.246822001792383,6.476064593533171,6.133581925918436,23.586032034342309,9.697185932948695
13,8.997689,76,1050041,1.385625805900419,3.764536104195389,2.659344527807664,3.680961739175555,2.084455168776147,0.754940869749023,0.660881975809417,0.627770797078704,0.999999999990896,0.656156579838316,0.894571422354032,0.244259178202212,0.398181344181082,15.616941008790723,12.441344246621854,3.407556796515556,2.927788662313839,2.999943523779714,6.537080991708521,24.750808901758393,4.287779690324066,8.997688523702020
15,9.129151,80,1050041,1.136415362534229,3.363065740224513,2.321391567325934,4.041652323315843,2.573040013701850,0.725840411238450,0.712322867825895,0.776231848256923,0.999999999999976,0.741002552344033,0.880389399882150,0.339605028323673,0.359811522315249,12.352505349987383,24.551512549623801,4.081070944939862,1.321715763356297,2.649157647736105,5.720768539513171,24.334152584036765,3.198176942049113,9.129151044241538
