1+1,10+20-i,10+20-ni,5+10-i,5+10-ni
62.604745436433035,77.35775819936303,95.9414251836884,100.94500875894593,108.60315886324454
35.93705654952833,43.431223478449716,77.18962847635869,38.535683600334806,109.23288084189454
46.41823262567187,98.73037173011048,51.99113151376179,94.2191601342414,69.1914083754993
98.63257050914372,76.79928230407636,111.73325584452992,105.13983736404022,101.64676258929165
94.49073274652602,94.2191601342414,69.1914083754993,44.297926183149045,92.60277004225173
56.429016781719774,40.366564626634435,99.54066950746662,95.76570360320461,88.64568722717084
60.405259458131084,33.71692240072875,101.6438660289625,109.88493749158842,94.53082732647744
106.70251446134078,103.82512984110241,82.65526862933545,105.36142452696717,86.00987355795152
38.17369168384957,105.65176894263134,93.26894011428428,93.01467825656006,70.75709138992626
67.19978980398751,107.06204677389755,46.983430115233844,30.031798340852944,94.29055053668105
34.718002463887984,102.41127053843356,88.84973834656182,90.06549716619136,107.19830848710592
43.82938739613457,53.670567008861276,94.29055053668105,92.43592666805206,99.55230064749215
105.3900947586775,87.26546786693102,102.01470644702036,96.93640364194941,84.49838065297175
40.15818979537351,95.13837034854757,101.99155556926131,65.95356402264946,81.87766674530748
48.36788328418683,47.019561483141075,84.49838065297175,80.45671842374703,107.4106135855891
39.06770401063401,43.833244291080376,99.12183846290996,107.44016656005596,99.4760020628575
57.46870215727908,45.032082230533035,100.16121654652824,78.00420187979505,102.86091187762143
101.45518830386715,34.54699753270792,107.07677288376132,44.5025288939401,102.96078118474692
49.33418645483177,95.57738629061167,71.76951105056325,39.469326966783115,102.11057637327418
97.10504855644118,47.30435167098902,105.55744933722369,44.16353508768283,109.26540111831729
33.83806709531274,40.765310398388735,98.27988935212933,99.2487876048256,92.05453508479533
41.23204289264848,45.113546866274916,99.58236686470913,31.496263807366397,100.24063259093957
105.20163327301448,100.18190312773378,90.595528051481,76.33143472964592,112.39592197897602
100.94496343832465,38.73573522844572,102.32693304495223,93.53586781973279,103.88243240390534
40.008876511535874,57.58185451890422,101.42732500615114,75.12073742943467,96.96848537576304
95.9488200297659,45.823629067970444,90.9908697210897,50.66242394427673,108.80375837944203
105.55388438719982,75.12073742943467,105.18236343788412,38.47724267151292,101.66935184157882
97.67506563983315,53.821529764346344,98.25521835702254,64.01238601413377,95.2139371951794
33.6260132086087,75.0296435155368,100.45996585008439,56.97851521382983,105.05649148096575
53.86503730180747,44.32960816022835,99.31047670960234,90.70226707648297,79.71160401593322
