0.0	0.7095	0.1767	0.1522	0.0806	0.7095	0.7095	0.7095	0.7095	0.7095	0.7095	
1.4694	1.0491	0.2763	0.2395	0.1336	1.0491	1.0491	1.0491	1.0491	1.0491	1.0491	
2.9388	1.4361	0.4036	0.3536	0.2204	1.4361	1.4361	1.4361	1.4361	1.4361	1.4361	
4.4082	1.8408	0.5554	0.4934	0.3529	1.8408	1.8408	1.8408	1.8408	1.8408	1.8408	
5.8776	2.2268	0.724	0.6536	0.5315	2.2268	2.2268	2.2268	2.2268	2.2268	2.2268	
7.3469	2.5163	0.8845	0.8167	0.7308	2.5163	2.5163	2.5163	2.5163	2.5163	2.5163	
8.8163	2.4952	0.9499	0.9255	0.8976	2.4952	2.4952	2.4952	2.4952	2.4952	2.4952	
10.2857	1.9836	0.7887	0.8582	0.9472	1.9836	1.9836	1.9836	1.9836	1.9836	1.9836	
11.7551	1.2177	0.475	0.5841	0.7844	1.2177	1.2177	1.2177	1.2177	1.2177	1.2177	
13.2245	0.4737	0.1919	0.2661	0.3921	0.4737	0.4737	0.4737	0.4737	0.4737	0.4737	
14.6939	0.0599	0.0331	0.0547	0.0675	0.0599	0.0599	0.0599	0.0599	0.0599	0.0599	
16.1633	0.0345	0.0092	0.0118	0.0255	0.0345	0.0345	0.0345	0.0345	0.0345	0.0345	
17.6327	0.0607	0.0141	0.014	0.0224	0.0607	0.0607	0.0607	0.0607	0.0607	0.0607	
19.102	0.1108	0.0255	0.0233	0.0237	0.1108	0.1108	0.1108	0.1108	0.1108	0.1108	
20.5714	0.201	0.0464	0.0407	0.0292	0.201	0.201	0.201	0.201	0.201	0.201	
22.0408	0.3537	0.0833	0.0719	0.0415	0.3537	0.3537	0.3537	0.3537	0.3537	0.3537	
23.5102	0.5861	0.1431	0.1231	0.0653	0.5861	0.5861	0.5861	0.5861	0.5861	0.5861	
24.9796	0.8974	0.2305	0.1991	0.1077	0.8974	0.8974	0.8974	0.8974	0.8974	0.8974	
26.449	1.2679	0.3463	0.302	0.1785	1.2679	1.2679	1.2679	1.2679	1.2679	1.2679	
27.9184	1.6689	0.4883	0.4311	0.2907	1.6689	1.6689	1.6689	1.6689	1.6689	1.6689	
29.3878	2.0684	0.6512	0.5837	0.4511	2.0684	2.0684	2.0684	2.0684	2.0684	2.0684	
30.8571	2.4146	0.8207	0.7493	0.6464	2.4146	2.4146	2.4146	2.4146	2.4146	2.4146	
32.3265	2.5619	0.9437	0.8927	0.8353	2.5619	2.5619	2.5619	2.5619	2.5619	2.5619	
33.7959	2.2523	0.8868	0.9157	0.9475	2.2523	2.2523	2.2523	2.2523	2.2523	2.2523	
35.2653	1.5534	0.613	0.7182	0.8825	1.5534	1.5534	1.5534	1.5534	1.5534	1.5534	
36.7347	0.7721	0.3012	0.3952	0.5809	0.7721	0.7721	0.7721	0.7721	0.7721	0.7721	
38.2041	0.1672	0.0804	0.1223	0.1556	0.1672	0.1672	0.1672	0.1672	0.1672	0.1672	
39.6735	0.031	0.0114	0.0179	0.0322	0.031	0.031	0.031	0.031	0.031	0.031	
41.1429	0.0472	0.0112	0.0119	0.0228	0.0472	0.0472	0.0472	0.0472	0.0472	0.0472	
42.6122	0.0858	0.0197	0.0186	0.0227	0.0858	0.0858	0.0858	0.0858	0.0858	0.0858	
44.0816	0.1564	0.036	0.032	0.0262	0.1564	0.1564	0.1564	0.1564	0.1564	0.1564	
45.551	0.2798	0.0652	0.0566	0.0352	0.2798	0.2798	0.2798	0.2798	0.2798	0.2798	
47.0204	0.4771	0.1145	0.0985	0.0534	0.4771	0.4771	0.4771	0.4771	0.4771	0.4771	
48.4898	0.7564	0.1899	0.1636	0.0869	0.7564	0.7564	0.7564	0.7564	0.7564	0.7564	
49.9592	1.105	0.2937	0.255	0.1442	1.105	1.105	1.105	1.105	1.105	1.105	
51.4286	1.4967	0.425	0.3731	0.2372	1.4967	1.4967	1.4967	1.4967	1.4967	1.4967	
52.898	1.9012	0.58	0.5164	0.3772	1.9012	1.9012	1.9012	1.9012	1.9012	1.9012	
54.3673	2.2797	0.7497	0.6787	0.5612	2.2797	2.2797	2.2797	2.2797	2.2797	2.2797	
55.8367	2.5406	0.9041	0.8388	0.7595	2.5406	2.5406	2.5406	2.5406	2.5406	2.5406	
57.3061	2.4481	0.9418	0.9299	0.9153	2.4481	2.4481	2.4481	2.4481	2.4481	2.4481	
58.7755	1.8763	0.7462	0.8276	0.9382	1.8763	1.8763	1.8763	1.8763	1.8763	1.8763	
60.2449	1.0989	0.4273	0.5347	0.7384	1.0989	1.0989	1.0989	1.0989	1.0989	1.0989	
61.7143	0.3795	0.1583	0.2242	0.3233	0.3795	0.3795	0.3795	0.3795	0.3795	0.3795	
63.1837	0.0443	0.0238	0.0399	0.0527	0.0443	0.0443	0.0443	0.0443	0.0443	0.0443	
64.6531	0.0372	0.0094	0.0113	0.0244	0.0372	0.0372	0.0372	0.0372	0.0372	0.0372	
66.1224	0.0664	0.0154	0.015	0.0224	0.0664	0.0664	0.0664	0.0664	0.0664	0.0664	
67.5918	0.1213	0.0279	0.0252	0.0242	0.1213	0.1213	0.1213	0.1213	0.1213	0.1213	
69.0612	0.2194	0.0508	0.0444	0.0305	0.2194	0.2194	0.2194	0.2194	0.2194	0.2194	
70.5306	0.3832	0.0907	0.0782	0.0442	0.3832	0.3832	0.3832	0.3832	0.3832	0.3832	
72.0	0.6281	0.1544	0.1328	0.0703	0.6281	0.6281	0.6281	0.6281	0.6281	0.6281	
