0.0	0.0	0.0	0.0	6.1492	0.0	
0.0997	0.0	0.0	0.0	3.7476	0.0	
0.1534	0.0	0.0	0.0	2.4857	0.0	
0.19	0.0	0.0	0.0	1.6505	0.0	
0.2131	0.0	0.0	0.0	1.1442	0.0	
0.2293	0.0	0.0	0.0	0.8082	0.0	
0.2409	0.0	0.0	0.0	0.5831	0.0	
0.2496	0.0	0.0	0.0	0.4275	0.0	
0.2564	0.0	0.0	0.0	0.3175	0.0	
0.2631	0.0	0.0	0.0	0.2207	0.0	
0.2675	0.0	0.0	0.0	0.1674	0.0	
0.2718	0.0	0.0	0.0	0.122	0.0	
0.2755	0.0	0.0	0.0	0.0897	0.0	
0.2788	0.0	0.0	0.0	0.0669	0.0	
0.2817	0.0	0.0	0.0	0.0504	0.0	
0.2844	0.0	0.0	0.0	0.0383	0.0	
0.2869	0.0	0.0	0.0	0.0293	0.0	
0.2892	0.0	0.0	0.0	0.0225	0.0	
0.2915	0.0	0.0	0.0	0.0173	0.0	
0.2938	0.0	0.0	0.0	0.0134	0.0	
0.2959	0.0	0.0	0.0	0.0103	0.0	
0.2981	0.0	0.0	0.0	0.008	0.0	
0.3002	0.0	0.0	0.0	0.0062	0.0	
0.3022	0.0	0.0	0.0	0.0048	0.0	
0.3043	0.0	0.0	0.0	0.0037	0.0	
0.3063	0.0	0.0	0.0	0.0029	0.0	
0.3084	0.0	0.0	0.0	0.0023	0.0	
0.3104	0.0	0.0	0.0	0.0018	0.0	
0.3124	0.0	0.0	0.0	0.0014	0.0	
0.3145	0.0	0.0	0.0	0.0011	0.0	
0.3165	0.0	0.0	0.0	0.0008	0.0	
0.3185	0.0	0.0	0.0	0.0006	0.0	
0.3206	0.0	0.0	0.0	0.0005	0.0	
0.323	0.0	0.0	0.0	0.0004	0.0	
0.3255	0.0	0.0	0.0	0.0003	0.0	
0.3284	0.0	0.0	0.0	0.0002	0.0	
0.3316	0.0	0.0	0.0	0.0001	0.0	
0.3352	0.0	0.0	0.0	0.0001	0.0	
0.3395	0.0	0.0	0.0	0.0	0.0	
0.3445	0.0	0.0	0.0	0.0	0.0	
0.3507	0.0	0.0	0.0	0.0	0.0001	
0.3586	0.0	0.0	0.0	0.0	0.0001	
