1+1,10+20-i,10+20-ni
28.492149,31.382811,38.070265
28.492149,31.382811,38.070265
91.961728,29.218960,34.003197
28.963247,39.073734,35.644146
78.411256,34.762980,47.478235
25.882272,31.008999,37.054385
98.931891,28.905162,35.080417
96.880867,30.577977,49.634686
25.979475,26.868961,59.148281
31.367218,31.648170,42.375860
26.511025,25.033588,35.003189
31.974667,57.394914,39.747295
27.220579,27.774854,38.454688
29.418096,28.229481,43.984565
32.855414,29.155808,37.524909
47.617002,51.819738,40.967544
24.183166,25.808769,35.412311
44.223917,30.598549,38.610466
28.496372,30.778515,42.215082
100.765318,40.859537,45.443908
103.219370,27.920129,69.909211
114.127824,53.499524,35.912361
107.098862,26.314861,46.609042
30.375973,27.951030,73.312495
96.499527,27.818684,72.154859
30.739903,29.778329,28.157904
95.984188,26.755660,43.531084
30.400390,30.599739,49.963525
109.573822,30.013520,36.139647
33.217512,23.844352,36.967927
