1+1,10+20-i,10+20-ni
62.250509,96.174166,117.612574
62.250509,96.174166,117.612574
196.933132,65.518339,131.629060
75.698232,81.758408,112.405473
57.679837,64.244123,96.390488
59.102003,63.425392,87.437248
55.542667,71.610324,126.415062
67.260217,66.424864,84.132510
55.304419,70.908786,125.527036
67.355214,68.277235,115.103691
60.081070,72.025796,136.699594
61.413692,74.529123,106.651542
53.795749,94.923557,100.432528
192.910875,71.047989,102.437665
56.044217,70.687839,128.236220
64.920402,61.773331,122.445178
54.556197,81.016083,133.649973
194.111404,63.880849,107.257432
54.564348,87.129657,116.291750
79.270052,74.835777,96.841112
57.960673,64.835256,139.093169
104.377472,66.835614,128.979071
185.368055,69.076595,100.199613
74.238439,68.558758,120.220159
55.933393,92.181229,131.567269
149.210777,68.957502,126.460760
59.944891,64.993120,125.475137
63.353165,73.302428,137.326276
174.667304,73.125497,104.725306
64.144968,72.096367,138.834663
