seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,k7,n0,n1,n2,n3,n4,n5,n6,n7,x
0,7.047339,117,1050000,1.594816431183001,3.315340163798691,3.835333086787504,4.482873547445362,3.037887192313736,0.757312263143023,0.680350599977975,0.400192141279854,0.907353054775831,0.588030285371436,0.735583085629607,0.242786751515095,0.411095987212357,24.477683792773703,11.629943126037142,2.146642927554034,17.725928982490316,3.497297180725667,16.866071654752744,15.782939222952697,18.867118296835048,7.047339412774478
1,7.047339,117,1050000,1.594816431183001,3.315340163798691,3.835333086787504,4.482873547445362,3.037887192313736,0.757312263143023,0.680350599977975,0.400192141279854,0.907353054775831,0.588030285371436,0.735583085629607,0.242786751515095,0.411095987212357,24.477683792773703,11.629943126037142,2.146642927554034,17.725928982490316,3.497297180725667,16.866071654752744,15.782939222952697,18.867118296835048,7.047339412774478
2,6.384772,127,1050000,1.432591493261887,3.648170635409835,2.516635268484137,4.263286487176652,2.189542390648045,0.789348456733542,0.746993916322293,0.400261930829605,1.000000000000000,0.970013490981562,0.615542308220859,0.317729464665462,0.280052804081051,20.874243468618935,23.463650527690823,2.170486385305427,11.605189821113226,6.018926385515574,10.111928538347786,4.818339097952984,9.850994013754858,6.384771586710851
3,7.504710,134,1050000,1.594503813278212,3.664449715384159,4.769887312889484,4.846198754591774,1.591027730939608,0.667562741485363,0.564190044451280,0.472651151565698,1.000000000000000,0.591686347420000,0.909862150624913,0.100000000000000,0.431234774015553,11.334573066769934,15.921442712261020,18.112310684028056,11.573434493918345,7.756888030706887,16.817892454803228,11.688754855335886,3.252807573754293,7.504710412436897
6,7.242675,117,1050000,1.223992062861368,2.942790413056153,2.358343754836358,3.751965833555531,1.992807693826875,0.747736608096574,0.817287507197472,0.498447797010365,1.000000000000000,0.968380935679418,0.549635026114458,0.129784961981292,0.449714071124952,6.140520245068970,20.337429701159898,2.480902506470962,9.274069733876880,10.197327031890985,4.894705950121195,15.904531790172272,8.406551077768529,7.242675033803750
4,6.229564,132,1050000,1.409947899463714,2.080576528932084,5.000000000000000,3.846986236231403,1.967034548107354,0.791519409185654,0.385467180846073,0.442114919888361,1.000000000000000,0.651785572711813,0.776215564421961,0.124855131603849,0.414597855766743,14.631311515478261,1.662028467675428,23.352582325061550,7.344254318137097,4.888164620271026,6.849090943371972,20.850590248726977,10.488046812019177,6.229564404776210
5,6.758580,133,1050000,1.370165874268902,3.646658994562154,2.601760278366317,3.717848994946920,2.368696333259489,0.763748266365268,0.688677318967582,0.396596184839821,1.000000000000000,1.000000000000000,0.553519463550840,0.156897139609059,0.395503313135101,12.541052315490880,18.685531509694083,2.749908414219000,12.132810879704635,15.602749111288984,18.357733223058009,2.363860237690443,14.901950782528036,6.758579646298200
7,9.643561,176,1050000,1.228294476069166,3.689305471569248,4.133527594561655,4.358286799876552,1.195096269885622,0.481798255282285,0.555630480573403,0.665863854718414,1.000000000000000,0.811878804647669,0.679662206426879,0.100000000000000,0.439636736332938,2.377628526443663,17.412428462328591,23.487005947084945,1.292149027563789,14.999212792594155,17.631471999519650,1.050081626348842,23.289195128110328,9.643561437658943
11,10.111517,85,1050000,0.767154443108352,3.281408712578064,5.000000000000000,5.000000000000000,3.267628355277230,0.573050405988196,0.534162683115814,1.000000000000000,0.158512086937426,0.645206803456941,1.000000000000000,0.146829307466812,0.641917370440694,3.333662145365109,4.170299045016057,25.000000000000000,17.400285829013171,9.224826354030456,5.460111691843322,20.920343205087650,21.296434800150240,10.111516929939639
10,7.185056,117,1050000,1.322933711399400,3.672794331298851,4.858040373705208,3.861229026418883,2.533057031254515,0.666630958229489,0.536079531325950,0.450931964549490,1.000000000000000,0.710475283092332,0.774808857292972,0.254300177455801,0.491830633783889,7.361466841055984,6.358551795945238,16.305085268544761,23.951508867202079,7.415726502566549,3.065991009692077,20.655906393921039,8.802676513825446,7.185056215114732
8,6.662133,123,1050000,1.567243926510402,3.168448651912468,2.916311554670397,3.736485843643345,1.478567163455134,0.708692723092200,0.465345154117016,0.651049819933260,1.000000000000000,0.880653506315727,0.550584209313032,0.259034905366909,0.414516395184311,8.694816384055712,3.370824053504141,6.783221674830271,1.488494097184485,21.498361822980093,19.939180046425697,16.686223800900467,4.540732367785685,6.662132969816615
9,6.648652,139,1050000,1.473075205918184,3.494543014906596,3.392059027578272,3.184140794814485,1.698876952287551,0.713765005769654,0.631290082834817,0.447097019937433,1.000000000000000,1.000000000000000,0.557430441650167,0.124239922830788,0.476063321356749,8.038410572526279,22.612829872214085,3.715702138747737,10.403612346130495,15.666851041754775,19.903921819301313,7.076069873989077,5.004603866902241,6.648652304855923
13,6.561890,105,1050000,1.377569609994579,3.234776309897754,2.535030335613974,2.960795159753343,2.909565394248870,0.734404497585700,0.683221777202983,0.719680524612416,1.000000000000000,1.000000000000000,0.565305335115770,0.394635918911103,0.197605171297804,13.752469744254796,10.574893749152757,6.889632242998494,1.596655028307033,12.757389156454753,6.897319506484487,7.777834670780788,3.877893976746920,6.561889896743331
14,9.799438,139,1050000,1.337437087666833,3.143100729083309,4.982627151283996,4.849680707912168,2.220352924663086,0.782816991961808,0.720783789128252,0.494896493009596,1.000000000000000,0.671466961668078,0.873765156810407,0.306006019218372,0.322827250124686,19.125730708011737,11.745793425662188,19.730556379101784,19.446505523054927,17.446947761430930,17.449273447569929,20.302509575380142,4.515345461608539,9.799437681958988
15,6.403965,143,1050000,1.621049098421924,3.649998050722286,4.343267472519208,3.188014927218935,2.970478798301505,0.684211508671732,0.546056571196249,0.488302988226456,1.000000000000000,1.000000000000000,0.521647578807728,0.483846220547516,0.100000000000000,9.121519840360704,18.233350591377853,5.369556294277347,4.420225133382023,23.143894826722231,19.480298786379833,15.444415415949000,8.153424265717694,6.403964734409932
12,10.019851,143,1050000,1.476765641510399,3.749941726430323,4.797021570131491,4.573810876479621,2.808429096852871,0.655170612062211,0.589755074159069,0.498618827791246,1.000000000000000,0.599812859589560,0.939009150540710,0.204614949085316,0.477798454836155,10.167247996989967,10.951768010215250,17.839468240847910,14.754622261298658,13.426390694196546,21.978797733221309,18.753523092162005,20.098064959261257,10.019851317641593
16,10.043128,90,1050000,1.392187273932609,3.186503810767487,4.823813882296333,4.435000201098407,1.856905515980338,0.524963669067590,0.510351045820632,0.958051851019531,0.183918713303534,0.578081179950931,1.000000000000000,0.530331315438283,0.618381259501424,14.430495135243212,1.452318945359939,18.057699594976213,7.553818844659744,15.668254319128122,8.671135275815791,11.061555474856847,6.947870782351596,10.043127662205110
19,7.566591,100,1050000,1.592587441928077,3.419713007069498,1.989611907961205,3.609646948476104,3.383866462620422,0.613444243054041,0.590892736568757,0.435974712955910,0.846296744190601,0.930226967752991,0.622512266133249,0.354623948079935,0.518170812023516,17.902472307736225,14.075591120770015,1.130327911642244,12.953239382793126,3.675087811168799,4.368482381601788,11.165368837249424,13.919560660589587,7.566590903734506
17,6.545264,108,1050000,1.595537403048855,3.735828057535900,4.392469926051576,3.374044939841445,2.727061619226126,0.721985881270625,0.556865733034690,0.569976444462279,1.000000000000000,0.762552857434232,1.000000000000000,0.493845026402087,0.120903742428558,12.706235487371928,5.030639585713491,16.731408280604199,2.491613821450433,3.127916194547668,1.323712406368511,9.743215053060401,3.103031244762916,6.545263674587896
18,6.951809,139,1050000,1.408398675641871,4.013165788550369,2.934859888715061,4.518105094735483,1.827767977412969,0.735513583765837,0.556837029821879,0.626657428630025,1.000000000000000,1.000000000000000,0.796466614675023,0.426410974537764,0.378023196052646,10.617699879111301,9.323766465509757,6.621085360756283,1.063098189452263,1.228781116663772,23.894475325335321,7.619594327791309,24.794323828632197,6.951809334819609
20,8.291523,116,1050000,0.948849418123035,3.674460145079333,0.874553102963135,2.230228072411486,2.813478853462608,0.498670550863342,0.529661541739198,1.000000000000000,0.887496148567654,0.941297078310383,0.566606086879990,0.252340536670046,0.558806863189288,2.139966012226586,11.204819372598034,1.985337864393003,3.441721803173419,12.714990203919409,2.771104161988292,18.212338046873188,15.083430132098962,8.291523103808433
23,6.746586,125,1050000,1.312239853275950,4.132650435051699,2.894294675136050,3.318670587975869,1.915123634271451,0.547989422465274,0.550352065571616,0.427878458802770,1.000000000000000,0.965343158439127,0.591486539126457,0.311222501102286,0.523603603819043,3.553562782106883,14.598959405125189,3.673473767777342,13.194382746518320,10.160989279857796,10.825159555452323,15.313945313116272,10.694431237349194,6.746585988138346
21,11.520912,142,1050000,1.475805993156827,2.502566334795036,2.750475404389214,1.753483023622454,2.359794719919853,0.699684392023426,0.439453155521992,0.546682343028348,0.938694700285246,0.753482639215035,0.877284633800116,0.628649486021592,0.409705653461492,24.732162938863741,2.475376318766113,6.354582537853006,19.362930158484399,8.992904244229432,13.310337912501418,10.397122193703005,17.482503207882832,11.520912007382406
