seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,k7,n0,n1,n2,n3,n4,n5,n6,n7,x
3,5.910396,113,1050041,1.277100215815872,3.232691832242152,2.008181674319238,3.620459145679287,2.373832018811631,0.735550370715243,0.725325019281930,0.744838092965472,0.999999261081404,0.813965116496804,0.848081903069693,0.288508050924505,0.364150244489441,14.704035115922891,24.335751512769057,2.863298223588334,2.574860433844381,2.475437673448648,5.283106036049751,24.860606503735425,3.628193850735771,5.910395547526003
0,5.999781,118,1050041,1.302297472011890,3.258091973632660,2.075648988150617,3.810536216201036,2.224919626664916,0.736902352772221,0.716557313402224,0.732510367599615,0.999991285621587,0.774896497837535,0.850768240654936,0.296722252969817,0.371434458251862,14.377179023737570,24.437532451418487,2.023717726800676,2.352630184878406,2.871008022180363,6.721899715911201,24.425245079986961,3.321542891569440,5.999780957972371
1,5.999781,118,1050041,1.302297472011890,3.258091973632660,2.075648988150617,3.810536216201036,2.224919626664916,0.736902352772221,0.716557313402224,0.732510367599615,0.999991285621587,0.774896497837535,0.850768240654936,0.296722252969817,0.371434458251862,14.377179023737570,24.437532451418487,2.023717726800676,2.352630184878406,2.871008022180363,6.721899715911201,24.425245079986961,3.321542891569440,5.999780957972371
2,6.347574,120,1050041,1.458022961630366,3.764727700286476,1.165295181172399,3.456665607215630,1.923455052373821,0.743089390938008,0.671442005884921,0.879161187748837,0.893899634713114,0.745545643213583,0.840161559426235,0.284090830771088,0.386117982938904,18.374490308010635,23.946951773701293,1.879818176945937,3.040444346717591,2.680678690129678,6.677040907365419,24.690513286623321,3.533115150626451,6.347573959015321
7,5.877281,113,1050041,1.598302847146839,3.989046834162799,2.316667453059803,3.334260885853309,3.378339266980546,0.706234788217421,0.582161467198350,0.501238689100836,0.999999851088301,0.695430081617493,0.856268009535570,0.523947298215269,0.100000002935616,23.437162539878524,11.160008155660067,2.304639700065799,4.766003069016905,2.378894277948804,6.750647127880157,6.499663838551875,24.455327298233331,5.877281153219029
5,5.903707,113,1050041,1.278478569275539,3.227150467309859,2.004430429974514,3.637888230574466,2.355282823994648,0.736536447355598,0.725907029645618,0.745455644650111,0.999999991985770,0.817627278657264,0.845053057135606,0.286195310276900,0.364298007322259,14.710764590880680,24.422867207308815,2.448190633335529,2.946326459616824,2.395455592592153,5.521094195352075,24.614612658567207,3.925860011485456,5.903707478331672
6,6.012330,116,1050041,1.303428459788600,3.261172704684947,2.068293922765965,3.808924491815927,2.222791477683529,0.736877841031968,0.716230618325687,0.733069971292004,0.999331834820596,0.772621291602136,0.851911251287727,0.296685175803112,0.372788391760165,14.458253298773801,24.768304831581250,2.526224612063843,2.554080923352713,2.291206555066744,6.165862245641854,24.680805552350136,3.476319518999146,6.012329513532179
4,5.793452,118,1050041,1.478496717156920,3.779981285255048,2.225661292044209,3.523973455499879,1.866218803478079,0.745023874147121,0.670980181040772,0.592652843569562,0.999997315962749,0.700740474463333,0.854208044823991,0.269013746212462,0.386921158369904,18.400618085543907,23.539108055332867,2.072657755728069,3.641693843216087,2.674411720634850,6.566809753384521,24.726096812548931,3.634931185683889,5.793452001700727
8,5.908612,115,1050041,1.277040036639070,3.222478554967891,2.004818027079388,3.647639265828473,2.358283254131319,0.736477304412885,0.725921306729857,0.746040640438182,0.999999692388296,0.814853291325528,0.846741691502757,0.285947646742668,0.364616599723820,14.663467137056006,24.981271139077588,2.816583254790929,2.700479062671421,2.788962640221781,5.553887816866716,24.229810780498763,3.032169926039451,5.908611533185420
11,6.339629,119,1050041,1.480594832972787,3.776977439748241,1.170666291679755,3.510793965916840,1.915670548873756,0.740303477070072,0.670400874856432,0.869559688675014,0.898000308822425,0.739279708778680,0.841399758853722,0.286067104051953,0.388518148271524,18.293331055569211,24.148307318001972,1.891635808096019,3.999253694147414,2.393674092218239,6.491140888674478,24.136526044247204,3.104186881168325,6.339628607976107
