seed,evalTrain,evalTest,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,k7,n0,n1,n2,n3,n4,n5,n6,n7,x
18,11.066746,5.842941,83,1050017,1.577694323966185,3.721737885420119,3.024975941674536,3.458393191077997,1.788279020459516,0.762966253283103,0.615710781080861,0.550419798083561,0.999999999991585,0.670610430619942,0.862644368073743,0.117676277262256,0.408094680465678,18.604097108350241,8.794221441902315,3.151670575991806,3.432424267317897,2.624130011202764,7.905110666011117,10.753719747530645,4.305713088257222,11.066745662021784
19,11.272042,4.811644,84,1050012,1.419216653835496,3.764137947462113,2.903353769928474,3.387768474587760,3.400065497426078,0.720943420110172,0.624082168385630,0.559432259757175,0.999999999894562,0.710294624584804,0.844843567233296,0.450736553143717,0.130771179592642,17.226287996281477,12.441194173138759,3.129577401302673,3.358057573508188,2.168240667249065,5.774521197375718,5.083551516795100,23.824576198972110,11.272041862365570
16,11.180958,5.101645,87,1050009,1.510292823966538,3.759518558008869,3.216779959380316,3.626677733800705,3.199083045853170,0.727197207856743,0.600830252110386,0.504761365696678,0.999999999935328,0.682183641687892,0.847427356177589,0.487055070065914,0.136436850830106,19.517217849091306,12.521917345759083,3.029883953821014,4.028047316573352,2.500763461194980,6.812095530252223,6.119474622888063,20.349655280633349,11.180957879918466
17,11.156144,5.099908,93,1050012,1.551973529319192,3.772216847883980,3.228976260528905,3.591735890823731,3.121121640396646,0.729054080324569,0.597277718764821,0.501467386328702,0.999999999992794,0.683387256772264,0.847017083506290,0.491976469864982,0.148559530392916,21.999950357939653,11.183282836645670,3.439610683365156,4.461585803130228,2.655751886654351,6.279500754759963,6.285259523569405,22.981724548191674,11.156143982322308
23,11.253574,6.277494,81,1050007,1.069221278341072,3.123619319157327,2.079822309422675,4.085504126538439,2.897099673882419,0.720224330676811,0.721174121726411,0.840291719990231,1.000000000000000,0.763580131862637,0.869118567598953,0.356042746066973,0.359971381187623,12.659496693214823,25.000000000000000,3.553788338635443,1.917962391054664,2.416225896934879,6.628849664722626,25.000000000000000,3.247545861813719,11.253574054948696
21,11.162958,5.291256,83,1050013,1.440718148998642,3.656475050284961,4.503314563163339,2.516975270389889,1.825284601535803,0.754527923336938,0.626624965244796,0.460887162489943,1.000000000000000,0.983774371105349,0.817049196728230,0.255448233165493,0.405678134680744,12.228636446490050,11.972071925570826,5.780547528832049,8.708500001897581,1.972414145569816,6.993028190387939,24.161905848312951,4.230141500490298,11.162957862638346
20,11.474671,6.027558,84,1050012,1.041846357092209,3.243637417423703,2.202583255740688,3.916952522225500,2.864507869129918,0.738436551327039,0.730840370427596,0.819765613668814,0.999999998529296,0.736518963022861,0.878440606341935,0.102573867922942,0.380411947867014,11.702537671229645,24.078527880004227,3.070410672015763,1.512783533647727,2.195313018057401,6.383949345096781,9.206962694290290,4.380948351332093,11.474670586060705
22,11.354325,7.525283,84,1050016,0.984252131842785,2.904728663846563,2.102375482034632,3.693275949440184,3.067901603107854,0.743168646199853,0.780577602989397,0.849839761582914,0.999999999987059,0.814591017625280,0.879627433798746,0.334484846888198,0.365843778630633,9.166008478614777,25.000000000000000,4.228550438392447,1.999816869064150,2.888980495368192,5.986114904205313,22.001425906735946,5.041319666897690,11.354325207584656
25,11.161641,5.595036,81,1050012,1.573766299029875,3.711063657171444,3.089592167115234,3.945825792595715,1.774696720064770,0.742341821879126,0.610802830663331,0.546634714365226,0.999999999391889,0.616334200227584,0.861142139991363,0.144234261726157,0.398109986175895,21.019298873360593,9.035252563913861,3.395133031187119,3.526528742698149,3.370087264056880,8.982583950657401,5.251510853097292,3.336024805040443,11.161640562897630
27,10.462885,4.796674,83,1050015,1.313229077505790,3.761520587117922,4.308346566949079,3.666001642824298,2.131690273067823,0.742419129144322,0.672204837887281,0.400369048447596,0.999999950160433,0.687392655094029,0.836814000764427,0.271573822222382,0.371622363670029,13.302808849110869,19.423585743723574,5.810711648456646,23.725897968760431,2.733681117527110,9.570126101825074,22.000137900457549,3.658399240700504,10.462884871028045
24,11.451010,6.244402,83,1050010,0.996137026623904,3.161620341038258,2.145555374018487,3.860026551880829,2.993885749200643,0.740217897442708,0.737230899316879,0.831682214119353,0.999999992358428,0.743911595153351,0.881885976650688,0.143557400565655,0.377290511517113,11.677975268869303,25.000000000000000,3.684434975160917,1.900435133939000,2.669922616282752,6.575750253344669,24.865747562733243,4.043378907399558,11.451009829545688
26,11.102440,5.050271,84,1050015,1.389273056171361,3.749300755659304,4.052232745946207,3.608365803834408,2.181161676314936,0.754747731690243,0.654581321382998,0.389269780169501,0.988261046632042,0.689020312920660,0.824473932802859,0.164284718989727,0.386883608956501,14.307530608431848,10.469679029821755,4.110622056163630,21.465764966740124,2.350504978775885,9.651468797217143,11.290236069180689,4.734604646507685,11.102439743391421
29,11.028233,6.226098,86,1050009,1.486017504246523,3.742056495979420,2.255981605397361,3.575897575471908,4.072922291265340,0.706898973374122,0.607203614375909,0.565948696092645,0.999999999693921,0.694567949652649,0.856336649189595,0.508677630132243,0.111521373190040,20.526202354533719,10.003422378527561,2.016545859069695,3.136234635781907,2.000120349086998,6.998356873613196,12.043073069223321,12.068669822904984,11.028233416184509
28,11.385112,5.659972,91,1050010,1.601282986881670,3.638758770102481,3.550646502400057,2.530864220348490,1.755042416084587,0.761440681933992,0.623539984825799,0.556624192764625,0.999993703549237,0.999987916846554,0.828052946120772,0.168943293955192,0.410163150237678,18.360473856197518,8.519235401763886,4.481025605333690,3.047644199276851,1.552858614343802,5.846176783208477,5.499036196524238,4.040601289706994,11.385112373018996
