1+1,15+105-i,15+105-ni
27.890963,27.173148,29.821706
27.890963,27.173148,29.821706
90.073207,32.281543,29.626407
28.873000,31.965927,26.836193
77.850195,26.086807,28.114031
25.662968,26.366102,29.419240
98.817158,27.174890,28.715305
95.185065,26.195265,28.002483
25.673264,24.863047,27.580312
31.207727,58.909271,27.779616
25.960305,24.999415,41.459432
31.934094,26.798017,27.431143
26.019377,27.213947,26.140724
26.128305,27.037198,26.727632
32.593012,35.301495,24.474145
33.625891,26.061283,31.283182
24.022342,25.578703,27.103878
26.646198,26.053984,39.047675
25.966057,33.231511,26.562710
87.648498,25.784507,27.742565
103.163582,25.180374,34.328949
113.414914,29.380247,30.756778
107.049059,26.602080,30.171307
30.335163,27.683254,28.055011
92.666052,26.978555,29.847655
29.150727,27.251721,27.090222
94.522287,30.711310,28.871866
28.491237,27.944784,32.099211
102.605893,40.356415,30.642603
27.689357,30.415053,27.616683
