1+1,15+105-i,15+105-ni
28.498097,29.064478,39.935473
28.498097,29.064478,39.935473
92.085859,34.767431,37.020384
28.996023,33.134339,46.970274
78.686934,42.536215,39.450811
26.399601,27.212818,43.534040
99.300833,28.895903,44.810407
97.234572,38.411765,64.762268
26.084631,25.893975,54.458945
33.245677,60.329815,37.103716
27.372594,27.290527,54.239887
31.991599,29.946851,41.987114
27.540735,33.344655,38.219500
31.830441,28.729247,40.381400
33.058177,37.551650,44.406052
50.767027,28.686152,55.369499
24.249968,29.302663,54.609814
54.180642,29.306823,77.518831
28.878604,34.418417,32.186762
104.101717,26.517402,69.471132
103.320027,28.235647,64.805116
114.153610,30.234625,52.092990
107.290690,29.384987,58.419295
30.572296,30.049584,40.522643
98.660468,27.412281,37.582410
31.183651,34.391722,40.027429
96.598207,31.841269,43.781535
30.951964,34.088862,59.550761
111.007720,57.390529,58.212601
43.576037,31.318803,40.446127
