1+1,10+20-i,10+20-ni,5+10-i,5+10-ni
34.314648,29.032435,48.317631,88.148469,34.183882
34.314648,29.032435,48.317631,88.148469,34.183882
94.594631,31.033598,32.835381,29.698860,45.374257
36.971170,34.102996,32.343474,32.549936,36.303089
94.405582,30.371897,29.056352,28.039292,43.681176
31.224688,31.441533,46.824212,44.166668,27.792024
98.235755,30.184389,30.961949,29.693510,62.174451
28.744557,29.546833,39.470603,32.774471,59.082157
27.645885,88.562145,39.166059,84.474170,27.314834
31.611102,30.580516,28.681566,33.103405,54.395776
28.880463,31.232866,30.222125,35.320972,47.082344
27.261722,31.050397,63.520704,31.647689,70.862014
30.014759,30.891616,33.139261,31.825346,44.287795
91.512419,32.431518,55.854035,33.730828,52.092417
34.186238,32.166502,26.916352,31.504553,32.173208
55.812116,31.403893,28.112040,32.711345,35.469072
32.433394,27.705426,29.756587,26.567125,58.269704
92.516011,29.881274,31.002241,34.256100,31.862497
31.006168,29.110116,28.645376,86.922793,50.692004
93.988056,39.358375,49.252934,33.975599,36.462102
28.213186,37.316124,36.546210,35.490528,46.206198
94.881741,86.832126,27.927948,39.686924,45.875468
97.824725,29.608352,36.943366,28.580234,30.967298
25.365676,85.568391,49.091559,26.305069,51.251381
28.629194,26.804121,31.993729,27.432660,36.677000
30.465147,31.316327,35.051747,35.126071,30.313197
91.793168,37.257038,29.192657,30.942511,58.551736
28.523461,30.983331,28.027033,43.048555,36.773978
32.607392,36.243867,29.721888,39.186346,42.200801
28.409186,29.567776,32.069998,29.920474,75.351050
