1p1,pi,pni
31.323861,28.339490,37.104357
31.323861,28.339490,37.104357
87.883400,28.815850,34.007318
90.402165,29.199610,29.546458
92.506014,88.052380,45.195931
29.201495,28.628177,27.468409
88.559804,87.185327,29.962933
28.835644,86.255849,48.333761
29.491904,28.367011,30.277371
48.736810,29.476504,30.474629
27.299516,90.700753,30.993835
27.596619,38.381621,36.177472
29.651436,86.291930,26.785414
87.231939,94.932501,31.887278
102.149265,46.840290,30.522361
95.531898,29.476730,30.411464
29.500456,29.225100,27.401770
91.830877,29.412629,29.660979
32.037629,32.526118,35.573082
88.714633,29.059163,27.202065
27.657378,31.483139,43.788141
89.789344,86.700759,42.510590
85.589428,28.889730,68.320747
26.234979,84.622412,90.958707
28.865060,26.619431,26.957184
29.694373,30.616763,45.455156
90.467376,83.822379,50.823428
28.330018,29.883503,33.064941
95.299285,27.858610,31.746383
97.825730,30.415879,28.850171
