seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,n0,n1,n2,n3,n4,n5,n6,x
17,6.381796,3058,1050012,1.562372962932582,2.137614264381499,1.433376144177763,2.424160648820050,1.693827338434482,0.600880993082308,0.525323542564486,0.352258936494909,0.545446719906451,0.442597420115609,0.691185755950507,0.491166433469664,9.076269139674252,6.233237201705822,2.158788972746631,4.436271439668634,7.183013126994735,1.252993391655226,16.465207803885444,6.381795701602653
25,6.692062,3079,1050013,1.665267488962427,2.060971346203906,1.870088837273173,2.631577720937685,3.945495440093618,0.667970825829328,0.524860307020867,0.376591548358533,0.531275964838922,0.645353931652866,0.010000001734007,0.905564244013388,24.482232615085600,6.131946548276130,2.197851720410940,4.496777699129806,8.529468796465206,3.054937443105748,7.454005580358072,6.692062453255355
9,5.812675,3151,1050016,1.555174143795429,2.158875499042211,1.338546844647357,2.889373248287684,3.377117371872060,0.685430228708116,0.533684512617723,0.352102239697833,0.588839799237844,0.574619415186159,0.685106884515724,0.010000027692244,14.404983279162099,6.858940116203497,2.894002971420499,6.008053267532154,12.970751597191153,2.146429260444939,3.081483843659058,5.812675016647087
13,5.771157,3233,1050020,1.524852729578786,2.031336372239861,1.682355145573285,2.263626651371096,1.504280409836734,0.741321599053299,0.554630200740192,0.359001030537100,0.505573235818347,0.197928131019451,0.501997283609774,0.791157398917877,19.164092906693646,6.488034938740863,2.889230444111003,3.533997760378027,13.922801537922294,1.891351468839746,3.519967314482223,5.771156883238186
5,5.800138,3308,1050015,1.518418562457325,1.901910416781508,2.110262874782476,2.605039428570088,1.196094084324202,0.730399285531568,0.526331264624766,0.419970686220207,0.491352767043075,0.162314899805346,0.516320653800628,0.950714994917631,24.995012173683463,5.920354457408185,3.712617030996717,3.142791246755965,11.999996217661117,1.683867917443077,2.691919833875731,5.800138450082566
0,6.408438,3324,1050023,1.580806635668977,1.739879029422597,2.514598673876486,1.985416105721389,1.704811360183934,0.604596749020476,0.498559745094392,0.409831009645055,0.497122486113231,0.466043869965217,0.671722602923824,0.510370402620350,9.632627229157106,4.671202062648144,3.207836552473072,3.691936010979400,9.018138624935712,1.527951445449558,15.288035707164262,6.408438258779741
1,6.408438,3327,1050023,1.580806635668977,1.739879029422597,2.514598673876486,1.985416105721389,1.704811360183934,0.604596749020476,0.498559745094392,0.409831009645055,0.497122486113231,0.466043869965217,0.671722602923824,0.510370402620350,9.632627229157106,4.671202062648144,3.207836552473072,3.691936010979400,9.018138624935712,1.527951445449558,15.288035707164262,6.408438258779741
7,5.753031,3363,1050021,1.567846466514928,2.133747268520645,1.222762106542502,3.313988348921407,1.584329631652469,0.745234316211788,0.540455349605694,0.348492335891045,0.627090613065469,0.170231485079790,0.999999962263379,0.024932325844066,22.914731302817564,6.634771511781019,2.380203943166659,9.716911859339884,9.273680001340352,1.494122404655335,6.825079401402900,5.753030524969814
11,6.158765,3374,1050025,1.559837186031659,1.994734049262075,2.057741942423130,2.575646069912285,3.124253047216121,0.666072349488696,0.509537214881021,0.418011709835057,0.559016840126515,0.682791991892404,0.010000000000000,0.880255763529925,15.175837694941662,5.475368116818831,3.463247280357318,5.492671740091746,5.281936072519965,11.285555515046901,5.238247702328460,6.158765251619279
10,6.333383,3389,1050018,1.587714799699216,1.934237807288527,1.658045325301707,2.527904088668346,1.669866637821959,0.597689520219183,0.509982550154268,0.365460384188047,0.531455481447840,0.449155213387539,0.696635209846319,0.494911606084549,9.798091717915246,5.299810457340504,2.820122052210858,4.355159114612002,18.485312288602855,1.713787530542030,21.278043924538717,6.333383496912741
4,5.885509,3442,1050028,1.507611940629042,2.029179559914234,1.572052767998083,2.880376121586734,3.486647052583975,0.653042431456673,0.516180516892362,0.375891327836580,0.585191780686168,0.612617285113574,0.149764116239297,0.804483379518075,13.337980893996997,5.228188175462661,2.120062111734075,6.772423147545698,9.052821418800114,1.484382045979772,4.215076201343091,5.885509184277874
20,5.833162,3465,1050023,1.497921153440473,2.243115247166349,1.250287749538096,3.447576890482090,4.588676492270436,0.682972928869871,0.546393289337530,0.347336586344698,0.632877775744249,0.649419160686051,0.015753221691700,0.904139912497613,15.219814561209101,7.041879860273638,2.767699955558343,11.054096392844861,12.657161702779998,13.637448731941280,5.734771596326661,5.833162024385839
