seed,eval,time,numEvals,ind
4,32.469262,23912,1050001,"0.100000000000000,0.100000000000000,0.100000000000000,2.111800315686160,0.619521759388173,0.100000000000000,4.182104468737060,4.633450842266882,4.179391320183154,5.000000000000000,0.425264277119566,1.000000000000000,0.550728876235955,1.000000000000000,1.000000000000000,1.000000000000000,0.446488456630827,0.372901525807490,1.000000000000000,0.100000000000000,0.493261231034850,1.000000000000000,1.000000000000000,0.100000000000000,0.100000000000000,5.370986806959954,12.162570956993006,20.311555802833773,22.607341204055686,1.000000000000000,4.047008985243702,19.429060777219433,4.303331839995557,4.057971626974445,7.716407105181380,11.962035970059057,12.920195049979522,10.860403680810781,10.817603366609834,9.599248249545590,32.469262034687893"
6,27.292566,24218,1050001,"0.941199626363996,0.913097666644043,3.575663432847706,3.060797551980150,1.339925049809480,0.100000000000000,1.605009021528166,3.171006403310994,4.745943463315663,1.479400848263420,0.732226558893272,0.360205243488458,0.100000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.665704949366059,0.380187917579586,1.000000000000000,0.298067343058920,1.000000000000000,1.000000000000000,0.100000000000000,0.377448888949693,0.100000000000000,23.953672871048034,6.237876841749873,23.966215596535068,25.000000000000000,1.530339994124427,23.667416028785616,17.161628585902583,5.599254676028159,6.179134679695748,7.305215455581547,16.759947988455813,6.579392470108406,23.380503308978028,25.000000000000000,21.540260155097456,27.292565775633974"
27,26.977243,24246,1050001,"0.709367213746948,0.152928300848444,2.470148925573812,3.891536853892418,0.832480960831830,0.100000000000000,2.469827644254189,3.013524032078187,3.428918174463319,5.000000000000000,0.423873440229596,0.710277556231338,1.000000000000000,0.100000000000000,0.657998242734357,0.836302069024994,0.427955895108360,0.799355516822116,1.000000000000000,1.000000000000000,1.000000000000000,0.182590065806967,0.100000000000000,0.808996154485960,0.100000000000000,16.840802895631316,1.000000000000000,22.928295152160924,2.341183556110320,23.397450424108683,1.163227678951157,25.000000000000000,3.895999541784199,25.000000000000000,19.294466009141771,1.000000000000000,25.000000000000000,13.199389224332097,22.135023666270647,10.186149201766166,26.977243491957914"
9,33.945016,24250,1050001,"0.930980775003588,3.931061653893695,0.486326134965895,3.115311531682074,1.417821022932826,0.100000000000000,2.773827987070332,5.000000000000000,2.656866235016446,5.000000000000000,0.414038975878671,1.000000000000000,0.996457371868127,0.100000000000000,1.000000000000000,0.100000000000000,0.461577124877218,0.522664740178267,0.309359993860419,0.100000000000000,1.000000000000000,0.100000000000000,0.100000000000000,0.408587549614893,0.100000000000000,4.045939595890445,10.303880564737726,9.379927253273635,10.795118586895931,9.831474212083771,3.257488574504491,23.192393919542610,21.188512917204256,3.801668499964487,20.236857617817523,7.608875670561023,9.393094245673019,1.000000000000000,7.853460739985345,9.956381203884756,33.945015863602002"
2,26.140946,24386,1050001,"0.820466453661708,0.100000000000000,2.015796826783470,3.383343715308575,0.595443019462925,0.100000000000000,1.024576179987234,4.749806230431008,2.252516046865314,4.584226899891049,0.336912251589974,1.000000000000000,0.903296242442900,0.367831957139224,0.100000000000000,0.602784102095883,0.346673534224338,0.606712311183090,0.100000000000000,0.100000000000000,0.708385010607764,0.100000000000000,0.110391199977714,0.635392150352197,0.100000000000000,15.192154962920797,2.303969473193667,24.176961023469850,1.196205844385896,15.199441538019563,1.798958355631137,16.854272257953759,8.493328955109744,1.000000000000000,16.765416761926019,9.233638117597230,5.547266704338370,5.094332815574797,22.147503863929529,21.757253918710098,26.140945873261177"
7,25.842791,24852,1050001,"0.100000000000000,2.824029305363459,4.209895425051321,1.866683435291497,0.501602288095408,1.674810109324698,1.592471607251154,4.249697952842398,4.299338956047537,3.727089752656498,0.424166136165706,1.000000000000000,1.000000000000000,0.359576062894947,1.000000000000000,0.100000000000000,0.477432928896919,0.904936340626976,0.420377267116091,1.000000000000000,1.000000000000000,0.206737506051347,0.596108957242786,0.100000000000000,0.170396527378997,17.456465506738158,1.994390581415908,17.167335065193913,14.740383287799371,14.519204089969974,1.000000000000000,7.028135952658127,17.891197764820098,22.420782243640633,25.000000000000000,1.834193865009176,6.974157260939991,20.792861715708252,17.239111740396964,5.532497418819641,25.842790599190362"
22,39.225535,25487,1050001,"0.100000000000000,2.334742424861825,5.000000000000000,2.918070655098035,0.100000000000000,1.967065150946948,4.048721827332769,0.100000000000000,5.000000000000000,1.886104325116758,0.100000000000000,0.100000000000000,0.602891314677832,0.100000000000000,0.618908547207727,1.000000000000000,0.182524842514595,0.132477301329835,0.338916528877581,1.000000000000000,1.000000000000000,0.100000000000000,0.694428846717514,0.100000000000000,0.136320819604447,3.708221681751194,10.699520857536921,1.000000000000000,13.613387145191165,18.227611876571138,5.316016745150475,8.153999359367764,5.211670213003804,2.963177810125154,9.952278799017447,1.833954025033882,22.526699013053093,22.617706946283348,25.000000000000000,24.267061818148203,39.225535032644899"
12,32.195798,25795,1050001,"1.296506015395775,1.235645540163576,0.769615433881739,0.100000000000000,1.239062899484113,1.267520241117076,2.223280320944585,5.000000000000000,3.402146657912138,1.223702513662181,0.552507372408086,0.253646304562304,1.000000000000000,0.220884408174977,1.000000000000000,0.100000000000000,0.219807603382379,0.808947567310151,1.000000000000000,0.100000000000000,1.000000000000000,0.391741553300727,0.617985586960574,0.100000000000000,0.100000000000000,6.730445669519300,1.534725374462828,10.509240033333195,10.689138757353374,14.245751582730315,1.689056491543348,8.523486135407530,23.315812696268306,5.505976741716484,17.787328231430119,25.000000000000000,25.000000000000000,1.000000000000000,13.429960704009538,13.503306267806072,32.195798392916216"
19,36.062350,26020,1050001,"0.198313336930678,2.183875269702734,2.425724701066510,3.338578269338003,0.100000000000000,0.100000000000000,5.000000000000000,5.000000000000000,5.000000000000000,2.421573509541197,0.291973101381250,0.504563751262937,1.000000000000000,0.322581848835924,1.000000000000000,1.000000000000000,0.624698487097244,0.100000000000000,1.000000000000000,0.100000000000000,0.100000000000000,0.100000000000000,0.553496332102820,0.100000000000000,0.100000000000000,25.000000000000000,1.000000000000000,10.342754068872489,9.098878410019205,22.270504966746791,21.515992935849713,24.061068293071308,15.514676431940824,24.861067500373884,3.570936983165839,12.633337642912433,10.379078443736661,19.877362572617347,10.477758250686019,5.590404305989527,36.062350412085841"
20,36.909943,27330,1050001,"0.379974686898465,0.100000000000000,0.100000000000000,2.100481930057208,0.100000000000000,0.100000000000000,4.159009209158450,5.000000000000000,3.324225466148025,5.000000000000000,0.360609544445193,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.296021846496277,0.277807093569650,0.100000000000000,0.338933373998213,1.000000000000000,0.100000000000000,0.100000000000000,1.000000000000000,0.100000000000000,8.272609644424962,18.287701225451446,1.000000000000000,1.000000000000000,1.000000000000000,17.124743915061561,4.617864461886038,7.537339323814195,25.000000000000000,22.538076243828871,7.480144131790546,2.366048681599747,12.263082747855143,8.846158234733920,12.902021627097521,36.909943376958729"
