seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,n0,n1,n2,n3,n4,n5,n6,x
17,5.898983,2526,1050042,1.560790737890884,2.180178179617804,1.332489381070634,2.896439218904030,3.267925260653648,0.677026461437496,0.529887499637682,0.353536685835714,0.588123735904716,0.581871264833732,0.618594410285930,0.100099538436868,14.586900076435682,6.197864201457519,2.651445606993615,6.188822131821376,9.135710861484410,2.235513562267652,1.575242437592084,5.898982875444216
24,5.876160,2541,1050042,1.497851044798416,2.047431993791815,1.718935728920001,2.610077037293746,3.002524308340134,0.657515504297896,0.509880871917661,0.380832535470563,0.558923137497111,0.615491298051888,0.221307156535716,0.687819613679969,12.626450362453674,5.143206115488385,2.891965605096109,5.146708201149690,6.755986506354689,1.616904569176639,3.016545468162758,5.876160415589934
8,6.402323,2549,1050042,1.567946063251518,2.049011748036806,2.049631423807807,2.360017378886691,2.734232597454834,0.661522267765435,0.506828771880198,0.415265707503908,0.537577979411306,0.719816460149275,0.100000151382338,0.839448386036407,14.484979759585355,5.144192632722793,3.869388294184210,4.288118538856420,4.507857471724911,3.430759061184146,3.431198543149407,6.402322595442481
10,6.163076,2554,1050042,1.485474880945697,2.143664359807029,1.539796951519943,2.814335200795198,3.617173678576876,0.715124095619438,0.537129332641480,0.359846047934033,0.599791567487476,0.450725484851853,0.693076689000898,0.115613754724496,16.453855649906994,6.592047464159109,2.743567512512655,7.489270447650507,24.499491933614425,1.334005544554071,24.384152237089786,6.163076494674248
5,5.617802,2593,1050042,1.532237365266340,2.122772837504033,1.558504231504588,2.616763415383912,3.479065034233498,0.653486890226383,0.540353737539174,0.359074232575548,0.563566028387446,0.585567727323680,0.175038138613334,0.789730552815487,14.670953104044489,6.251374720333129,2.105879625412388,5.775134109714897,9.259080658354385,1.770586999480467,4.603887587095064,5.617802232675549
11,6.949414,2608,1050042,1.588902791769196,2.153719919198036,1.288164324150512,3.143356457094075,3.051930273964752,0.637069234937036,0.528708040015516,0.358845881474443,0.590645365616640,0.683721023137365,0.100000065425445,0.873694429284045,15.762810756278360,6.097452264728821,2.639871623805482,6.565850618811497,6.600700960736051,23.432617112421077,6.412304985893604,6.949413867724578
27,5.887659,2624,1050042,1.502726198516132,1.920499115612528,2.211929850730595,2.061611146547629,4.321398554973583,0.673703514989699,0.518082470223909,0.422307873977559,0.493500961985620,0.644500862978570,0.164279365173824,0.880201619126628,15.065329108229528,5.815601073253700,3.370503739772794,3.269672712282725,13.756209374811346,2.311119825697869,6.298511488725207,5.887659254970463
9,6.345753,2625,1050042,1.548419446581777,1.903561715292114,2.364503818771053,1.913523439429992,2.727633255781190,0.630925616658533,0.518054296664052,0.404422570974702,0.505222727135409,0.552266706293928,0.355224328555995,0.695489942203621,13.884761110221990,5.182763451106326,3.201930011219859,3.370001885169151,10.882129393339102,1.563033861882316,5.772745659789196,6.345752740354006
0,5.603928,2641,1050042,1.505706759352302,2.145781989949796,1.499680878624384,2.642331245950667,3.721411681160050,0.669224340552748,0.547135766937348,0.361312257533693,0.564477215573819,0.640742288992717,0.100013644523082,0.889516248416227,14.196707093688551,6.103250291403310,2.454058676969084,5.840620655162624,7.480564046150472,19.099871408819598,6.295540128721761,5.603927799394503
6,6.988593,2652,1050042,1.583787257958988,1.972418718699994,1.763385977402305,2.274543050430434,3.111639277668775,0.682410625298034,0.525325721659519,0.371356520299343,0.534715922769381,0.631442284365465,0.100145650050819,0.905155640311759,17.855195019717264,5.941108514703383,2.212417516602976,4.558268102747754,5.551866671719349,20.510593725262467,7.201391476325877,6.988593298127748
18,5.894207,2660,1050042,1.593894690511729,2.175071855905695,1.320247354561618,2.913512635230036,3.291713658837123,0.683282816869109,0.528007364803005,0.352207769871248,0.592421950040029,0.573275727688455,0.684472371735548,0.107793089488778,16.608187536771936,6.413311643249542,2.370175608574621,6.269894059583598,14.389469234142543,2.167553023802961,23.785259053086299,5.894206737953781
1,5.603928,2662,1050042,1.505706759352302,2.145781989949796,1.499680878624384,2.642331245950667,3.721411681160050,0.669224340552748,0.547135766937348,0.361312257533693,0.564477215573819,0.640742288992717,0.100013644523082,0.889516248416227,14.196707093688551,6.103250291403310,2.454058676969084,5.840620655162624,7.480564046150472,19.099871408819598,6.295540128721761,5.603927799394503
23,5.945883,2662,1050042,1.518819867601830,2.178639874640552,1.342275572126877,2.784988995429951,4.061679286132000,0.690626359664732,0.535497096119878,0.354328042514315,0.591112182957604,0.594004931611990,0.432629363315102,0.466126814998418,13.558709904399838,6.699072802857643,2.833468705323847,6.263087048354344,13.347927567102235,2.886424638272392,1.335153976788528,5.945882866611012
