seed,eval,time,numEvals,ind
0,8.828067,4292,1050001,"1.402618518331233,1.978469672585242,3.678753868923067,1.296447158307497,3.725980626342977,0.579621727404357,0.521788850115086,0.470905762169404,0.610312040171397,0.322851973957939,0.326049947697175,1.000000000000000,9.597825727211310,5.632603742078269,15.355147418290288,12.320147911133540,16.147021212026334,4.513692077502088,21.006862044009583,8.828066658434201"
22,8.613027,4296,1050001,"1.499498525034935,2.609533498183271,1.062178218127814,3.147179016817913,2.483541217210085,0.518755362080941,0.569373483867197,0.359964561272109,0.641000001938325,0.713739277580433,0.782981910832448,0.100000000000000,10.754432475726213,17.513843949275418,3.730674572234966,9.492566387297234,20.821251966555113,7.767077616955883,16.832162539618046,8.613027190248937"
6,8.158358,4298,1050001,"1.584188111929309,2.328754098131137,2.336455855535642,3.171240830993278,3.495723324252274,0.563579456512225,0.491976613908191,0.445501561902893,0.670195690270846,0.622951097579962,0.214003990582032,0.928110449834404,6.242112995481862,13.930011101034201,7.500648029990180,18.301084116959849,24.107973403540970,17.629338862367134,10.623387302083663,8.158357539910856"
13,8.398765,4306,1050001,"1.224083802799155,2.312850071016759,3.560230862935244,1.919101853752888,2.034037793960279,0.528119444175651,0.482612510415718,0.500013857614171,0.494608739958194,0.448097017750205,0.785845208563697,0.264577196815734,4.077295768545023,18.681683521688590,18.903415513274715,3.989521460348669,21.204862684539598,2.317174627672956,18.194741611146351,8.398764934254847"
1,8.828067,4337,1050001,"1.402618518331233,1.978469672585242,3.678753868923067,1.296447158307497,3.725980626342977,0.579621727404357,0.521788850115086,0.470905762169404,0.610312040171397,0.322851973957939,0.326049947697175,1.000000000000000,9.597825727211310,5.632603742078269,15.355147418290288,12.320147911133540,16.147021212026334,4.513692077502088,21.006862044009583,8.828066658434201"
19,7.308032,4370,1050001,"1.572171180612837,2.141067137814168,3.008405665596890,3.184598102308735,2.713415365272982,0.711133198733545,0.517569840468226,0.448089670561588,0.587650324976956,0.443581984132059,0.718632641965038,0.100000000000000,17.000378023429789,24.819056335313504,10.632585879299462,9.615522149075246,5.869191474579922,1.000000000000000,23.198639962341644,7.308032365522580"
5,7.836686,4483,1050001,"1.568953274462890,2.267150689558214,3.542321871549010,0.391919266630119,2.787562293117975,0.702771881788577,0.541677887656624,0.412293374968807,0.586681108158838,1.000000000000000,0.418783613414103,0.100000000000000,14.731461037183338,13.272202487334947,15.388192365450032,3.533756762453242,14.892001754506965,16.916500837946450,1.921846587566815,7.836686078857198"
3,9.573618,4497,1050001,"0.912330874677174,2.138710899694561,3.184378376214382,2.689907535345791,2.471861278588594,0.438628681689519,0.482224273063369,0.471796855517326,0.553128874079878,0.762825136135660,0.804590256834048,0.177421604958013,2.649172502379435,16.583404945828451,17.500951423743096,10.638613778461671,24.378943270449799,7.849390738005133,15.920604697968544,9.573618203125356"
10,8.842811,4499,1050001,"1.504548719755628,1.778405132578228,2.812997115313487,1.183721017096054,2.803776901465006,0.780088421511806,0.510479023062500,0.390034748625876,0.682992449540322,1.000000000000000,0.323055801861884,0.100000000000000,19.803567919291570,5.072584767873955,21.566901516672064,10.693140425922941,25.000000000000000,11.469350702769110,3.973251534873199,8.842811045819859"
26,12.976063,4505,1050001,"1.473951624888847,0.841127163831327,4.353499371209855,1.214883470727324,1.767365907885072,0.737678285308464,0.527767203995855,0.462328366209014,0.352315621624549,0.116855890875961,1.000000000000000,0.100000000000000,15.236355745782024,1.083102070643536,17.597015578738137,24.028038892506028,2.448993161927153,17.817352601032155,12.107446002451316,12.976063207187234"
