seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,x
8,15.031481,23120,1050042,1.283687607998701,1.691575861979536,1.259284777803328,0.744666626204379,1.160369701190244,1.621211620197552,1.652336957831650,1.713817193982162,2.800615972294235,3.777079756953679,0.407412938350803,0.477422149481481,0.785919493031474,0.998986944379107,0.686295214864978,0.519941980466490,0.376048418191475,0.550588421064289,0.796909681999722,0.978078170450723,0.615752579679683,0.601480208650195,0.221980447288102,0.480030470226419,0.175094410706702,11.156007285687401,5.254714060088548,17.035426672600195,24.801493263138389,2.309016080486857,2.399042219358507,6.789123635206959,4.607742703635532,24.331857980562816,24.681326689723199,3.495731519019107,8.006220184822250,6.504226881200306,11.757134421776147,5.944069697205338,15.031480745502289
23,15.058080,23255,1050042,0.928312379099532,1.252067220226590,1.437723078155620,0.932186240606129,1.172723575783972,1.651462577794856,1.509512872402148,1.474699301283753,3.999266601861586,3.776898486508220,0.367760352744097,0.549083940285453,0.999995189487134,0.821835170357316,0.629635078111143,0.566758347937334,0.385477886769938,0.468406892994205,0.994820196290672,0.818395489430311,0.614482865237243,0.726964837957808,0.230359684458668,0.322591831742467,0.275578725066421,6.686866982231583,5.100187767852965,24.714489989458254,24.227542275286751,2.833755810933919,2.989605565590418,7.707840965744095,5.560133342359258,24.583176196610043,24.290333219355126,2.549091693584662,12.273306014494894,8.919725842720275,7.759417202563302,4.307656737798076,15.058079948678088
11,13.956840,23455,1050042,1.034467697298735,1.339644774616050,1.138697260534531,0.939454634857198,1.148420640318731,1.575413988479177,1.799776350679677,1.821552756464648,3.482232734021512,4.669893027688470,0.430067407686351,0.581847387024757,0.791780795524891,0.990166097419355,0.714196346877390,0.456939603217201,0.408921201481816,0.665116322559471,0.802554858092474,0.991548693549691,0.659960045339382,0.509967814097128,0.301411537821508,0.503864524429489,0.228114115197903,9.026935467955905,6.302518954492891,20.910324578856556,24.067265723220224,2.373895579835354,2.109017319920471,8.142128223716660,8.199053877394575,24.193060339797888,22.398480817264164,4.119841179499820,11.738230584715218,3.483960164471759,15.478657862356500,8.768808595437389,13.956839700790652
24,14.289675,23485,1050042,1.125984382431848,1.799120032081998,1.495576364571935,1.175733488718804,1.209082317145563,1.365622171322233,1.900687332855951,1.646884702346706,4.102165836783758,3.883014938426208,0.453412016619006,0.667747799665950,0.999152671260211,0.845025313927404,0.681295310545127,0.476178145468627,0.456451793574422,0.605700784174130,0.997242904722459,0.875617108828569,0.637696687047208,0.620851041931205,0.316500971890528,0.420552681562029,0.241339350079516,9.828097950484609,9.606796215338709,24.326511506563100,24.636845533722308,3.737635314834129,2.630438889049649,11.686990121163596,8.821427188839754,24.261225447631076,24.554961569068662,5.670043614465464,8.764728450615701,11.576292760858795,6.617708001365697,6.098350806142272,14.289674897725383
6,14.534908,23608,1050042,1.184815117447301,1.302960452481361,1.103729799047980,1.151511361042479,1.058355298799146,1.008776718261551,1.353784245509138,2.007989989626107,3.648812705016590,4.510766301296782,0.420085847365130,0.570552303554631,0.728295927799921,0.993677470801307,0.705349331451073,0.174099680673351,0.407418514466354,0.684758777145428,0.767005679370437,0.990566637913907,0.626978822294299,0.422916228374220,0.299811017893485,0.500780276053299,0.254423706580549,9.394885757867147,4.778044066360901,20.744250202785408,24.185398002655695,2.815253650914227,2.199478676863876,7.980952372523610,7.611818793457748,24.199600468592361,24.902973498008670,3.729112818500860,11.373894913675751,7.859807800588985,14.172996874096444,5.665490154472568,14.534907588407401
15,14.721726,23705,1050042,1.416750668077542,1.856789797827144,1.388740780326992,0.691226088699053,1.316182393061719,1.614900332424649,1.753079892545942,1.792739495908617,4.240787741770837,2.777149077471626,0.485208677283210,0.540514916065105,0.999802909682009,0.753139860950616,0.640655755648399,0.523914248570712,0.432530279645419,0.590904245463530,0.760830462743470,0.955826278408058,0.607226399088840,0.534292324043856,0.443902541251874,0.362474374550534,0.216439946429163,16.567871955620624,7.267286631019628,24.968474125192400,23.811161648607477,3.206422412912779,2.824417279014022,6.254770460028212,5.250117916252232,13.123826892410564,14.461806958502517,5.391572437667552,6.173296080867949,8.494534476139413,11.739994908917685,3.102750419265580,14.721725734102021
7,14.213808,23836,1050042,1.132172959651157,1.394748318084613,1.545089759218660,1.027779596435761,1.333136312608586,1.797266341995083,2.032159728337513,2.040827376689139,4.304811941915586,2.631740645429828,0.502924485312111,0.598563132672891,0.998538813864937,0.773290908105065,0.686042161346954,0.417123733627145,0.486287710407086,0.676899967597374,0.971516081471923,0.822654265603524,0.650594877437951,0.429354181939964,0.366913192589063,0.422291243120000,0.214957036034387,13.700991843185533,6.696475070034958,24.476105156013332,24.881830639900190,3.635401651670367,2.147488450227224,10.928688492115712,10.923117918456167,24.306231371509735,24.331325032592914,6.896907455637975,6.128226872340844,10.032256892729257,7.143619171083704,2.550952898979406,14.213808218053351
3,13.983410,23957,1050042,1.434667786457650,1.216286151332034,1.284657988122461,1.010233245442644,1.387341793661235,1.265045205037194,1.050948617570288,1.979527709590323,4.682638627596443,2.769052315762011,0.525856117277460,0.603588640849314,0.999643220558491,0.757486250770474,0.675642014865211,0.369574970136241,0.523927725354191,0.643765720496451,0.972290724689188,0.813552845758034,0.649609297870181,0.470760633893110,0.446672420601710,0.345684646493891,0.188028386558681,22.537622742499298,5.219764857205397,24.087875967738028,15.281399565529476,3.654968533672451,2.402327964187612,17.410124733905217,7.287684525959429,21.040398237063165,24.489553471611799,4.292297134262174,5.842067705499084,9.413095697410996,23.272865042952865,2.026743642643685,13.983409652109282
2,14.726510,23997,1050042,1.411046047453045,1.471517570736942,1.109020996478385,0.969725340734971,1.360186107219119,1.587738851352301,1.476913182370328,1.727639708547651,4.324365316928241,1.949976860890264,0.426114859559250,0.558715191562737,0.999903871912656,0.730128686895053,0.680467609207856,0.473674633512063,0.420191100729510,0.597817498523245,0.979892319853591,0.754429049473671,0.617990449869073,0.485442898506096,0.119908522696101,0.612853362469637,0.202369086351484,8.383573403515139,5.531084303012487,24.200680956945490,10.180917834373154,2.270753941028453,2.215640447884674,7.879438118145983,8.249205142921979,23.901871574594728,15.896335148704451,3.834182976205446,9.605944381277797,21.479883137441056,15.188068776376372,2.572153752061054,14.726509811633702
4,14.633318,24000,1050042,0.993600605605597,1.516154563823012,1.042601813714783,0.764820762088666,1.150184374882877,1.722987425377574,1.728540219428396,1.439561918358133,4.224462112113009,4.099876493629586,0.393645405544197,0.565157674599983,0.999334204073502,0.710127289710397,0.980525421621964,0.492634876049708,0.392086186377062,0.538446755647106,0.772021319522005,0.998200745226153,0.617102301838280,0.569984379697210,0.355260743801716,0.564851233200711,0.250078828627629,7.889120949375602,6.730064174462214,24.686612980335905,10.280264354886107,1.442832933167168,2.543396981217732,6.860944769991680,5.221361820345582,21.796181349804950,23.664230419888905,3.962601722250474,21.650860373684416,5.382118910023946,15.030292008863826,8.643949488401048,14.633317927181138
