seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,n0,n1,n2,n3,n4,n5,n6,x
2,5.739817,2676,1050042,1.564701777474524,2.138091235069875,1.320406837186365,2.970470734581860,1.832699532302441,0.733187027227193,0.540567449462108,0.348835034674811,0.612065678018342,0.161746644485193,0.975224799515082,0.010417404984818,22.482666193622161,6.319507545227664,2.371570596189305,7.625692616279257,3.634992522088374,1.797022317492882,14.849422780305729,5.739816506131184
13,5.864463,2782,1050042,1.555504611888034,2.180137898294685,1.351003720040309,2.889603126524237,3.402988852888062,0.688111201151578,0.529434073491696,0.354292128505746,0.588562906266476,0.579034511400695,0.680721811132583,0.059540927736799,15.444211328238461,6.460705418254044,2.135564197839008,6.271320325282801,28.795276982198267,2.157576996587251,14.105776967791497,5.864463241017832
7,5.891008,2795,1050042,1.550375570691073,2.012623829417885,1.696081384654112,2.631805442874915,3.454533917738495,0.696733538519708,0.504464528706097,0.376102120527763,0.563756084131834,0.590164197078457,0.672736461972583,0.021103673872624,16.451140536555623,5.217038050977926,2.581472808210664,5.755401541651816,29.711551813429863,2.750564447027404,23.238367920697875,5.891008271179394
29,5.796933,2809,1050042,1.534356638257243,2.157841818287141,1.376038917182083,2.675910304731911,3.652008283144025,0.700526683683174,0.535213873077111,0.350826315830432,0.567867113993707,0.568581108445727,0.680990990420288,0.012244004978069,15.306121619861190,6.268973283022898,2.096903081439009,5.903141021313389,29.469243222368991,2.321773236428014,13.787083450482253,5.796932938325268
21,6.513201,2852,1050042,1.512309189097612,1.928004164292054,2.625768385783017,1.948464213974465,3.799607350875343,0.724966732822557,0.505359834836022,0.441259271491393,0.459247812643592,0.575283657560223,0.637716926060478,0.047210489174089,17.728552831324044,5.450714736159170,4.991981184885687,2.951400442247017,28.116194761406301,2.790295966277998,6.695894299321135,6.513200894009305
15,5.780755,2889,1050042,1.545790646918765,2.157723444851221,1.390371289240276,2.651893626566091,3.627437285377046,0.697517142294227,0.534035425729729,0.350944648875856,0.570765435073198,0.572500903323699,0.680887180202257,0.019412211638958,15.955311837905449,6.417515858230345,2.291478023358108,5.730303369319296,28.554291089867902,2.088222858327709,6.567034940689408,5.780755300008586
20,5.851562,2891,1050042,1.564227051144554,2.171797861031710,1.331613976579657,2.898698372327422,3.439866866916481,0.690382979844119,0.531793277501089,0.352291826464680,0.588477329874253,0.583916511071890,0.677677018022372,0.077252154201621,15.229532952778562,6.187387666930042,2.401437913639769,6.369860842218036,27.221021030658892,2.886962986257129,15.709838226689068,5.851562105618426
26,5.896089,2919,1050042,1.582902106335841,2.187953930235074,1.281598376781544,2.941756784586154,3.415335942463917,0.689329100910889,0.528282273355073,0.351286017557879,0.592857426007005,0.586402109630717,0.674091465524612,0.016831141234089,16.181405940294411,6.535872287728867,2.945231299853420,6.555868033644077,29.086781647850429,2.319799701056251,18.439474814279961,5.896088836410193
25,5.840537,2979,1050042,1.559542918736086,2.167690058570489,1.360621587140751,2.862886700113022,3.452249453583160,0.692264371520513,0.531516113388954,0.349151253067753,0.590598810685974,0.584723884075769,0.676942894020985,0.084909825892060,15.148485903708960,6.167250710702598,2.352595944195964,6.342632723901475,29.317585680261800,2.806636493002883,22.877180122685324,5.840536586553952
22,5.809188,2989,1050042,1.530464994487367,2.165781851152291,1.354866986853638,2.723313908033329,3.623646800711494,0.696967880669509,0.533685207397323,0.355797070382455,0.565365233191440,0.568063168541480,0.682758383197411,0.087508275527513,15.913190447258470,6.567454200922345,2.647309812217717,5.907614143394448,29.555039889532171,2.327031092438993,16.606698789335958,5.809188202392493
18,6.045128,2993,1050042,1.628365760603748,2.150954548421521,1.251255091850241,3.498161390903171,1.753912033807220,0.672267824192110,0.533228505794017,0.359693655945259,0.625202223449656,0.747680804240714,0.010257956281278,0.868285595038471,21.322148441075263,6.506832707509296,2.636946897788464,11.516901611541543,2.752345232381366,29.791865787257947,4.695791266424180,6.045128043162830
11,5.787210,3022,1050042,1.547329584191622,2.143903870419540,1.398116894667886,2.693701605617566,3.602894430079651,0.697002505885090,0.534255347200642,0.348739725745002,0.571882153675265,0.571121663674453,0.681088774066191,0.050549653642816,15.204840035485974,6.731270349961947,2.970755384935962,5.468151571019039,29.961913175175460,2.862609915575881,10.410494822211425,5.787209947088638
24,5.681646,3038,1050042,1.547605112737284,2.142147639013476,1.275413806500695,3.285627671685692,1.427828597432657,0.753353202457766,0.542825149991490,0.348618343804111,0.628155630759226,0.165894978092903,0.999915262852268,0.018555291878920,25.297763458314388,6.406132155543524,2.803577483490951,8.693570738814422,29.718064962964138,1.085722021030645,9.644789419777779,5.681645595582166
12,5.745745,3064,1050042,1.606809157117151,2.095430956066619,1.246892537106446,3.413288171880523,1.775858034488829,0.660334668787302,0.544103387969107,0.344437642794881,0.633771774569930,0.698696380995574,0.010959344744948,0.877688182309499,21.378233994906974,6.347221984264395,2.458433482990812,11.324487463799702,2.168007747906075,9.611934457367349,5.494329444544333,5.745745372083240
16,5.741210,3068,1050042,1.521328333075447,2.125508020574688,1.305227038627451,3.150523401127265,1.457957911406685,0.759797680505112,0.549477449549333,0.347614046546547,0.619274338062703,0.161927841024033,0.999743367749218,0.022868395517769,27.414974792616053,6.126241434046329,2.579505507606003,7.100023908295363,29.043571040206810,1.361043617447458,6.161370724379129,5.741210032527366
10,6.280626,3089,1050042,1.651259352057781,2.160700763464675,1.235462550075764,3.532996322935690,2.333635687608550,0.667029911178440,0.526959521974897,0.359530782380063,0.627639082291050,0.665159070291728,0.010531375592384,0.897175008299018,23.259396621305494,6.315658975178557,2.175274601477631,12.564871625254445,3.942959606139597,29.439546511778566,5.454672924718459,6.280625765229848
1,6.011217,3104,1050042,1.624932073863525,2.169242539609025,1.456342613298717,3.085497516015138,2.279221295303449,0.656212649217911,0.531814733188999,0.356541259620263,0.616245375803340,0.655639823727221,0.010406085685593,0.889897345377440,25.091379590227919,6.727695041719803,2.884184424814061,9.167890930481878,3.337970280374427,29.473542104278962,6.721594256807567,6.011217221666738
17,5.713085,3107,1050042,1.523080113502898,2.138085925447089,1.278383948785213,3.179025075690663,1.444547251524948,0.757646592529721,0.548144384109144,0.346894861919468,0.612747199028315,0.163817300752640,0.999126587837731,0.015049425593882,27.288029126080957,6.637180666359734,2.800096358575752,7.346108287345104,29.474855123148500,1.271029222275250,1.467737030034843,5.713084761320718
23,5.719444,3109,1050042,1.518516356120825,2.123513565596504,1.290290677092624,3.190192463331535,1.461995219345021,0.757878202305844,0.549924078747479,0.346249291361719,0.620837296513247,0.162597194951500,0.999513582705036,0.017503656611875,26.075170155388882,6.770230118311436,2.736586581897756,7.397341889005501,29.806770599026716,1.734133108878158,18.799678204042646,5.719444086606732
5,5.709301,3110,1050042,1.523731105898109,2.129402655483300,1.276698045511103,3.189881498485769,1.466050679002426,0.757449186849448,0.549260645193964,0.345377270619719,0.621201546112119,0.163902381071477,0.999875618441267,0.045460046249171,26.626019618422020,6.206962225719130,2.454575171801596,7.793329195414680,29.698613617469490,1.997077598020538,18.560120064024218,5.709301239370484
0,6.011217,3113,1050042,1.624932073863525,2.169242539609025,1.456342613298717,3.085497516015138,2.279221295303449,0.656212649217911,0.531814733188999,0.356541259620263,0.616245375803340,0.655639823727221,0.010406085685593,0.889897345377440,25.091379590227919,6.727695041719803,2.884184424814061,9.167890930481878,3.337970280374427,29.473542104278962,6.721594256807567,6.011217221666738
4,6.162225,3120,1050042,1.652637341263397,2.112260207150893,1.294793571992133,3.560015739606167,2.245340649069060,0.670944460792589,0.537221042766716,0.352687012850337,0.634650982326938,0.646784508171738,0.013179314182119,0.899658878453803,24.339050503816565,6.828311050105406,2.937480442871015,13.488519993670891,3.412029180705107,24.859056058050249,6.907442445397884,6.162225498996711
9,7.315960,3128,1050042,1.575439804009977,2.555668562228777,1.235691921350987,3.043823803317620,2.549559536510901,0.689847013612861,0.529362352986400,0.369860036578855,0.603577111718611,0.646341770267835,0.015500422953181,0.934145395043009,19.782786284975006,9.614562001200198,2.118290716225281,8.357601467858028,3.828606279720805,21.306614444758569,4.684406376136626,7.315960396606048
6,7.342598,3154,1050042,1.670808736265535,2.021527437367590,1.718232749284259,2.225301372622990,3.632419922085067,0.688498212077160,0.518657702184700,0.355510626235884,0.557440971769979,0.614337539121821,0.123790395726218,0.935397156153563,20.867445965020003,5.257143292840066,2.107320218362668,4.171218956153005,7.675404888105083,3.188404965130976,6.983075086989250,7.342597807565327
19,5.714737,3162,1050042,1.529396057823342,2.143021928114784,1.280722688021883,3.188059997999460,1.444384682114403,0.758466713164204,0.549502112842373,0.345496980609282,0.621054123489016,0.163593061205047,0.998404783065239,0.016273795006588,27.243260572511857,6.325851256285356,2.386619165037306,7.682095505862823,27.931529421952479,1.071102214102429,29.797383987683442,5.714736789340947
28,6.442508,3170,1050042,1.534777595282384,2.042073081832659,1.987402229619051,2.455421349113976,2.329509001466890,0.651504971483229,0.526234725820972,0.379833402870135,0.524303251427466,0.384198415882843,0.431256714130702,0.675380476842567,14.933685496962333,6.386509620654087,2.120068885177457,4.179526934292085,4.812771269463775,1.186971771216478,3.774116586447587,6.442508387420435
27,5.906643,3172,1050042,1.609251561689007,2.104952012325910,1.500116204029187,2.735771941590191,3.290801484914562,0.690842453891625,0.527584880340702,0.353059682119915,0.574812239989227,0.572701843366970,0.679203595475016,0.083246524174578,16.143007443512559,6.477098538036934,2.201143554139982,5.489403034549344,11.050839065553887,2.401131222881253,19.637316971773188,5.906642651382243
14,6.334887,3175,1050042,1.582822994806524,1.943702470816766,2.618663833394035,0.896166365772986,1.789394263062139,0.607409722976893,0.501586824575700,0.416864076032931,0.463346189665451,0.445092025105675,0.646221596010692,0.521570878757011,11.445946538573902,5.698667987631676,3.166225400024204,2.325527537995169,28.249254119078390,1.670022163579492,26.842216345241627,6.334887119063810
3,7.320052,3185,1050042,1.701616345840242,2.101666849175447,2.213849080179794,1.431457828814977,1.295836595418706,0.734164318534429,0.522964210721989,0.450190190319671,0.402531750807936,0.712815021648711,0.274394755984338,0.943575004643936,23.742537379082499,5.500509832681971,4.094479666601635,2.031321047485264,1.065684217228512,10.383886851481223,3.294273351674065,7.320052230536422
8,6.458241,3199,1050042,1.303157999829693,2.080699520927780,1.632798945614587,3.307294110719653,4.432621508578892,0.664823561150503,0.561055925539764,0.355300081506278,0.610633765196781,0.533537180972784,0.279044511257162,0.931864986596572,11.147692564927886,8.017719762785326,2.627116206288588,9.463432275081068,9.971218810468599,13.589722275612533,7.443294212337415,6.458241343258342
