seed,eval,time,numEvals,ind,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
22,13.675456,26498,1050042,1.067490989894885,1.015082058136721,1.107063386324941,0.989755100240359,1.085894174700059,1.462314248537643,1.351006104643288,1.786361350687345,4.513404308214110,4.863085302683106,0.401644623441473,0.534677982881957,0.999999833769354,0.801221417411906,0.681392311104575,0.531900112711989,0.388227877524138,0.596793048415862,0.999999831486704,0.813424976499517,0.651788009095189,0.544158267277803,0.452099776841748,0.399531904904981,0.290760566006035,8.828149484527996,4.803530591639009,24.581978032694003,17.778860166514057,2.998570557475413,2.006146035228428,7.999973349979189,7.988488366209277,21.459187360774805,20.004548472362920,3.627068924300029,7.393029781033393,24.892199832816789,14.072041538004894,20.180197981271799,13.675455948635915
18,13.515075,26589,1050003,1.267095950102094,1.365182598532360,1.119405181869575,0.997336585122246,1.281872298458689,1.403448544235900,1.683719568671171,1.800942788785953,4.136090641890769,4.999998595885190,0.427468932668115,0.586684069579212,0.758446863293128,0.999999977471050,0.725220388678875,0.453428079256171,0.417091843259223,0.613944961767408,0.999998011207616,0.803729917773690,0.632640083070657,0.525419489694660,0.495596894930408,0.366035127423088,0.271790285284193,14.119865272786430,6.402677089430371,14.126247482959975,25.000000000000000,2.234165977002816,2.128843561356976,10.936890215926082,6.260571136964968,16.171917040250889,15.880055255530912,5.189567093552469,6.605886360385916,24.664050343740637,15.908561352040196,7.298508061738766,13.515074685868716
10,13.594186,26878,1050006,1.247984333052648,1.385933693222527,1.554886856988566,0.819020998458723,1.271249916639040,1.448312108172475,1.998485033138655,1.655815840701006,4.917605888102621,4.951909232628306,0.420605105438157,0.597152151396226,0.788205429434414,0.999997746435514,0.644800215827910,0.410060497563600,0.414525401232186,0.618665578419384,0.908621354913707,0.822753981299483,0.647065497445031,0.496303086359974,0.527185931350349,0.110472097072608,0.301004973030216,12.208558823173857,6.000411696173282,24.999999999995381,9.223269013832286,4.914287894671812,2.463483508936185,10.999936600085725,6.032762779428014,6.796779674244048,16.000009289194622,9.028534668497821,5.133709781075834,14.925231740136203,5.679859355515514,16.317410786436795,13.594185791662233
28,14.361064,26999,1050003,1.069292959501884,1.407695380280248,1.042555456262860,1.517896346813980,1.169034900518634,1.013252588750963,1.465738430533404,2.039578414591521,3.210547532341974,4.757229153543519,0.397266939929837,0.599118163718156,0.750623206843916,0.999999999978565,0.667723601137974,0.702037178603927,0.398083665208003,0.542524983988731,0.999999999987188,0.803558201082915,0.612079679493000,0.604715583409649,0.118868233921940,0.575331413659809,0.221772848797790,8.648721473966338,6.116509049288993,16.272711443791251,24.999915197700595,2.465843285684608,5.404087802286047,8.745447128798977,5.359593706421605,6.340956792680974,24.999833786520905,3.474111210265570,9.840867339929285,7.351416430965201,17.985469060472862,4.478204385293455,14.361063716006109
25,13.958543,27252,1050006,1.330853301051381,1.444909969505852,1.501950231426860,1.202679588257479,1.268094011650717,1.144924669215054,1.775929929193639,1.977236200646408,4.265363915012565,4.955924862737298,0.420899528134632,0.583310860172969,0.760275706292616,0.999999996323675,0.652622817028453,0.601032460698822,0.403171449176805,0.589041147505498,0.831906241963310,0.999999976607982,0.626988612847020,0.563148174687356,0.492474421519709,0.424872485827364,0.277593751367359,20.686357526708178,7.591599702402613,11.578751792567006,6.118753229482041,4.850887195849695,3.596597144885671,8.082640872884191,5.999927626926310,12.727700567548099,19.475178711787769,6.961611615136685,8.340943288762570,19.106916088524918,22.643731979223701,23.667492533783097,13.958542899247397
5,13.972205,27338,1050006,1.296410209494711,1.425220469683751,1.552129399022136,1.208158630114666,1.349855194141562,1.258080599196284,1.888005491244736,1.899272477013346,4.658691972808425,4.952022476997200,0.422081548165238,0.590589305330039,0.999999818527468,0.807450678808145,0.632667216779494,0.597505467880784,0.409213578346099,0.595447097152355,0.798674879919744,0.999999917043367,0.641457832936973,0.537556135541321,0.510624851378054,0.206444333652738,0.292136684882237,13.000007365389857,7.021663523337948,6.417080786986359,24.602436248707466,4.976960372552438,3.425119835482018,9.678075840186737,6.003093798472468,20.637431297897592,18.726819100335450,7.325030447512256,6.008898675841240,9.705386041602908,6.427366361754770,19.643954067050184,13.972204582739726
24,14.166768,27340,1050042,1.289278834321630,1.401868237358452,1.867361097933323,1.019909046808542,1.223375928096179,1.366001331858593,2.061302963304448,2.016136137304310,3.802455343601752,4.439412174456416,0.432752654537106,0.569509110116916,0.849698294013068,0.721970127431395,0.711115937802897,0.491881999411028,0.415768504427195,0.611040745350432,0.612380765498161,0.652576532936936,0.672765401179192,0.572219665323688,0.513479040993434,0.386157876606227,0.237993016073479,17.007122012275814,6.999740557791748,4.951861113056908,6.203068457365187,23.000004466230230,2.736271769199659,8.483989271644789,6.278340328518773,21.008275445147475,8.000036359806326,22.367987532755805,21.344709599864202,22.124392447418550,9.000628647796052,4.292385440307374,14.166768270960078
26,14.042599,27591,1050004,1.271139536501611,1.179433541088031,1.375095078809831,1.141475685977397,1.324947988265699,1.183180154394313,1.992033247584286,1.772063851908660,4.445255820528433,4.904718083484665,0.421875777264875,0.575488636379678,0.749826451802210,0.999999999968287,0.666951450095230,0.562463497819118,0.407294749287432,0.595028520709886,0.845784552979489,0.933432003270316,0.652765393606163,0.520519093503498,0.443270155161856,0.364087260541361,0.297300043416350,14.164061876572466,5.695546623227374,24.154869462475094,11.273461688391504,3.047994268715496,3.624360463158457,9.872176931686484,5.953574862072376,24.706155533476014,6.406357871279931,9.080514960459352,5.015192345332673,5.955657130897114,15.004990390077896,10.979431060057203,14.042599309133720
7,13.828841,27757,1050006,1.271091990218142,1.978379898389926,1.301103765181203,0.862156319905061,1.205362169259064,1.423421296867428,2.176769165056525,1.763370020409648,4.952199560526854,4.957949337526080,0.421328090450159,0.614607339585232,0.736298986214633,0.999999999487390,0.685306714563413,0.489554311040902,0.400918186160087,0.620947656575021,0.964169980965819,0.982842122210767,0.642564174322959,0.523365906272393,0.497871141145158,0.229921726363737,0.304323874353743,14.046906375294424,18.944510888541000,7.246597624734257,11.162576226549537,3.035083252652601,2.169884125734302,8.146333694840432,6.915485362956026,10.612790004074312,24.783552497704473,11.566663746037127,6.056994670293849,11.142703808516348,9.829289102815646,24.999603432098798,13.828841053228826
15,13.751112,27763,1050004,1.295561776311780,1.521459026287200,1.353824406930520,1.014757214266192,1.211439788633642,1.315775699929165,1.937913458489296,2.007603000642559,4.798159981408907,4.934891749353131,0.422280361974215,0.576920931810257,0.767776503806095,0.999999999805837,0.672156302390363,0.495852006997874,0.400615809606623,0.616939299689055,0.857858106957590,0.999999997956419,0.641700114926415,0.569924317574344,0.492763095807984,0.204631264293373,0.301399674138583,17.599092717694666,7.227102262556826,14.534923691706696,16.895449242977065,3.191841273854761,2.641607063987486,8.828304636110630,6.726354977429286,12.277987051484046,18.385914938541002,7.133149544821805,18.999425220813709,12.002762319697495,9.990237896634093,15.929892952730288,13.751112182398880
