1p1,pi,pni
31.715015,28.496233,42.890185
31.715015,28.496233,42.890185
89.971343,30.204039,42.154039
90.890762,31.069011,32.322463
93.007534,89.938156,54.225331
31.102566,29.280632,29.788125
92.793431,89.336801,32.926074
28.865651,86.333187,54.121251
29.886258,30.836206,31.930868
48.736810,30.102147,30.474629
27.709423,92.294043,33.985408
27.893341,38.592794,43.857223
29.673389,90.946750,28.843071
87.506399,95.640634,31.887278
102.174368,56.026671,32.460035
96.569258,30.444005,30.445690
30.036090,29.839435,29.401939
92.013067,29.412629,36.883398
32.324333,33.856773,35.573082
89.713018,31.490300,30.573604
27.660377,31.786000,55.545047
93.215232,86.930415,58.586329
87.444585,28.889730,68.320747
26.645421,84.941980,97.109523
34.363101,26.938426,28.957880
29.703000,30.905156,49.232757
90.730122,84.724560,54.425582
28.616252,30.095935,36.890607
96.386991,29.003849,32.681516
98.472105,30.801180,52.674978
