1p1,pi,pni
33.932471,30.159391,111.704067
33.932471,30.159391,111.704067
99.577811,89.121077,105.349671
97.071519,31.727544,78.402274
93.898313,87.764418,99.847402
46.525750,44.264762,61.450550
95.509380,31.119498,101.389249
47.866338,36.417328,89.371607
32.038644,91.455245,95.183470
49.292595,32.941575,95.269599
29.609510,89.621271,99.693869
34.181958,38.400848,107.419793
30.716074,30.802353,77.205353
92.060825,37.933871,86.883751
103.094745,38.334010,60.058756
98.679733,37.545278,69.992339
36.165527,30.741823,99.614836
93.677468,93.284163,61.837199
35.243784,38.822316,102.389446
92.527527,91.561654,92.043937
27.963622,104.614146,85.914018
96.929427,37.061581,60.961285
98.301782,40.674078,104.997428
28.132928,31.351980,103.650082
35.255408,96.392357,86.736066
31.192204,34.046281,68.925621
91.615330,30.522591,103.852489
28.826302,31.516026,101.787586
110.243468,33.678155,86.451957
99.478871,89.607831,101.851657
