seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,x
5,14.198609,20249,1050042,1.231023639434187,1.284736422166338,2.082812968703034,1.200411369371446,1.287419836626954,1.235353583255032,2.228287051299523,1.924508699928243,4.930469309197728,4.840589202184319,0.416805603780979,0.582131363327804,0.703824834210023,0.682656091084939,0.681129094730040,0.579815772578717,0.406340379074530,0.598070217248471,0.545973949110902,0.561614851643231,0.638711405268425,0.533255515086400,0.540808160091336,0.162095100153466,0.301326276089827,11.711658124930190,6.769267589333693,7.402325067616769,25.995454099014484,22.043752877713458,3.148489306930386,9.989822435249058,6.002516026790390,20.159906718601853,26.544149933713161,13.112307411778701,6.812653090197753,11.003323860926601,13.000072222262334,10.985674360021720,14.198609407495270
12,13.961704,20756,1050004,1.058867590584701,1.085235700674085,1.126617333570480,1.179072477053889,1.149186019700638,1.283485990557866,2.141421275102072,1.804964499026847,5.509811688911923,4.843265630829828,0.399417789682594,0.565360280952576,1.000000000000000,0.792325316964717,0.698684877384140,0.584805156226062,0.389338801408346,0.591038821121608,0.871175758179297,0.978038062410689,0.617147984086418,0.538078520138406,0.479458660396527,0.290591043976132,0.322803796710952,8.937432293192001,5.001513270427046,17.993725256195247,19.717418130520563,2.260831415964118,3.747875343677280,7.006565440784494,6.001199152867917,19.000041019740621,19.103482660724779,10.554600731464017,6.831377663434769,10.009026056680959,10.806207029991709,16.471749835400281,13.961703681248939
13,13.944892,20862,1050005,1.315502151078833,1.344406405048591,1.845477553930730,1.209158812524387,1.317416656461822,1.196558796833917,1.901265239103478,2.166072111646710,4.503534946192925,4.700515377422923,0.448146234087658,0.603963821971070,0.645845008280162,0.686878228523396,0.623459162249631,0.568495119877250,0.443713478712560,0.596980954469714,1.000000000000000,0.999999956545752,0.668451102907376,0.596562051801297,0.521922792269608,0.212872584477639,0.264875404998919,22.082259533213502,6.842091696096717,15.999794925418779,21.253475077554764,8.508962373416993,3.315126167544989,13.879187620759966,6.999744505199054,9.486999490294410,3.228576680417831,10.608756550114406,13.477555760604316,20.114750742990864,14.011532605607841,5.183257007816945,13.944892497224191
22,13.978360,21377,1050005,1.180764139603195,1.236388501997938,1.740160169769690,0.965552199884042,1.135938692691990,1.519145806132441,1.343646773375114,1.489084303620160,3.661077014797091,4.851230361268194,0.415028909541985,0.573681781311308,0.863399119262088,0.741527698257162,0.726834391800764,0.545935135155399,0.399943610513679,0.631533596850834,0.999999986520094,0.809645938479066,0.689915328458452,0.538199892098755,0.041603484370768,0.504844960638616,0.271348218774392,14.906603512584206,5.742557277540974,3.001534487985313,10.348050069560098,16.893649246200741,2.241575841276598,8.796062636813676,9.716372904714475,21.932471229557435,11.692844447535616,3.768911729893326,6.490729358889556,12.517783343538814,10.540441559856576,7.527473909524492,13.978359525615484
16,13.744456,21521,1050005,1.303452495622202,1.331576769790171,1.574677063857963,0.876781877597656,1.234165096603295,1.394060840473902,2.064495510985203,1.983122211882147,4.720159931878957,4.232080090440920,0.444422694458695,0.578369401076342,0.781753329023510,0.999999984919356,0.655382841989481,0.489804960899706,0.425550467746874,0.619357345239910,0.860206190470079,0.870212680180508,0.661442981808728,0.584435492313840,0.521768853931806,0.146600436128501,0.269083265814536,22.971915737055919,6.034652147659880,27.717859141310327,6.702681405457024,4.999999524163483,2.607365082934322,8.472424800720053,6.097841600770349,8.879535179023562,14.263386706557916,10.822643891691724,11.656806443408639,23.606869079071579,10.914207470783287,4.967316688841916,13.744456426748739
10,14.136862,22016,1050006,1.288792632541902,2.023825469329253,1.727930285193248,0.992975213947315,1.137180716541132,1.715357237939014,1.808275432756200,1.968669256345956,4.528869806586119,4.785097787788620,0.427547501752930,0.590571661418496,0.999999960287127,0.869486188888400,0.636371594201323,0.599579903941783,0.403427175995299,0.629860640841858,1.000000000000000,0.881614298074813,0.629764575871025,0.578308980417563,0.500310394860553,0.235031356534629,0.287977534524147,16.962694298446827,28.188987495071778,9.185469480669567,23.939796313111116,5.869499201443828,2.969126279723512,8.400976798412449,19.805701864186868,10.000474307712321,18.999901062869025,6.451285987035187,17.048585761270555,18.600180197944791,6.924206193387196,8.021026336475916,14.136862284293609
1,14.123209,22209,1050005,1.154335505851890,1.872162980857483,2.218375019341324,1.022204623810349,1.289786807696436,1.553673748389089,2.069840495371278,1.925111478093256,4.150079684798411,4.918217909263416,0.409497892487611,0.666527519254952,0.698592366394304,0.691663613974849,0.628099677979347,0.456330534306310,0.421051053666984,0.600460103468124,0.756989537168152,0.711839753983328,0.642385439897579,0.548098139297087,0.503917028649014,0.369730807079828,0.275311931489800,9.910535715552558,16.269196971236894,7.643512653572794,20.250775765244245,18.920555936836066,2.590924607789765,16.706267803888646,9.837129107844184,5.010076318431871,11.373030716808958,19.903682472772803,12.024207706509333,25.019038757385761,10.638688898827698,27.694340498259776,14.123208788171336
29,13.844485,22209,1050006,1.269017569600333,1.398404690039752,1.492135579222751,0.896014246298979,1.166507251020904,1.390275381924514,2.025781540058987,1.751558811723228,4.837518042119160,4.920401232185849,0.419437917774728,0.548637693319834,1.000000000000000,0.783679451602494,0.639620966059470,0.516732765783354,0.394313720553824,0.615261405334834,0.863946370401310,0.858218057248967,0.646702289293562,0.525953567375202,0.489371124099883,0.297057035363479,0.302059499582714,14.105251391392236,6.097146785624137,6.138960481593904,9.044802689205324,4.087492736861000,2.579619039613329,7.402987228548830,6.981079087667562,13.912098267382852,13.079473612158473,9.412533454982284,6.605799485596597,21.287472376512340,7.716635035412134,15.764198806559127,13.844484962700475
14,14.294106,22239,1050005,1.305874527438214,1.228979699002719,1.411918581204620,1.293235357917418,1.338179015502792,1.164402371501830,1.339024402735723,1.564545765974529,4.314850548411885,2.833506219866404,0.492318145423952,0.618372539229866,0.738372238127800,0.999991296908639,0.775482283359620,0.585861548294272,0.489188678362243,0.614025465725295,0.999973245949793,0.840572576674827,0.674491938414428,0.559467955552997,0.018950116858873,0.505319562582422,0.219901827747736,23.713269601584840,5.493302219306545,15.005212120831474,1.560083616765504,13.624446880610973,3.550621854181563,17.998492957540314,7.347527888900724,28.597518750657474,22.408719564587276,3.312075493021723,6.216148354865392,20.047421614451014,16.828325097974339,2.997488489712379,14.294105632462219
11,13.621575,22559,1050006,1.298824919849318,1.461875232737209,1.337931637159550,0.941592411771062,1.221400828024378,1.342138145344561,1.086884465505091,1.935734792404244,4.363909432198716,4.917804660471911,0.422962922505532,0.572448114318765,0.748202932920410,0.999998361310437,0.687525200252175,0.493811168670464,0.401345709805991,0.621689614297428,0.737608343543104,0.999998661777131,0.734011497017185,0.561298251651306,0.477897374285784,0.315372116743530,0.283126481525285,19.000126815388682,6.065006291278586,10.193544701835687,28.275504465086633,3.000957846135892,2.202299732886497,8.102109983639847,6.476169613383852,12.410635738277781,17.084613031070595,2.121408137410628,12.583097385137172,19.294364094705411,21.292590519496073,10.231275606209086,13.621575127088330
