seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,x
5,13.496606,20912,1050042,1.258294465234663,1.354252470675032,1.338418223005540,0.862849717033632,1.321821503502241,1.473221796124345,1.328406520900824,1.597363354438732,4.206185810827112,3.651205231911078,0.477233232666136,0.613447596716538,0.999999999999954,0.763979420730840,0.678948856553832,0.374171903658008,0.467103355175976,0.658698826405966,0.999873193836411,0.748464952426000,0.681427148302838,0.452288233286244,0.499747655702667,0.425666451371715,0.220262606365026,15.467699591325578,6.345333684508480,29.502020404185962,22.487769735604558,3.999158224234736,2.323664838962118,12.554208114974107,7.885365548328755,29.055373483111942,20.775553600909354,3.219474241923890,4.326491913740213,28.945951132147122,10.888366959918867,3.328457303623072,13.496605569450602
11,13.926425,21169,1050042,1.293781205166968,1.360766724527548,1.417656626568163,0.949127761144319,1.333271709964478,1.533178665805337,1.437543979348203,1.695968106365032,3.129971121681462,3.762481156070712,0.458493228322639,0.592621422242706,0.999999999999966,0.779516109878019,0.667746852590575,0.444462258980866,0.446003992831537,0.617823939135497,0.777250480207632,0.999999999999959,0.667553057062777,0.540505817645548,0.259381874211759,0.528110385769239,0.180353144711658,21.017841724214456,6.428650423332809,29.465364385489380,28.670767408808821,3.683438337144260,2.418436712401357,9.771797491076389,6.398895282171556,24.194818029327155,29.293781101880988,3.697791384617288,9.318805824466778,5.346096470868569,10.552026799503646,3.908593309589802,13.926425438313447
29,14.074766,21220,1050042,1.034167436714413,1.298491069482363,1.230336818265205,0.911192122895972,1.043683599278058,1.618721464891183,1.439387018696342,1.864559723191007,3.917356924164863,4.542028617565218,0.402210810624197,0.533793817060113,0.999999999491851,0.744698667217097,0.710834516553411,0.459548096800259,0.382342079110883,0.632713652382477,0.791817568852102,0.999029562051059,0.657655388823854,0.454883312086091,0.447491938492982,0.487666719883365,0.263502679982662,9.865297776602275,5.250304702783798,29.558020497626820,15.292776465268740,2.549835489753059,2.574385986980342,6.103825715351312,7.987615960566850,28.248700007459028,29.984577217462710,2.339091728528471,5.155409266047604,10.176597748879091,14.650336522000765,7.000917749049735,14.074765778667346
20,13.588818,21269,1050042,1.328895250524016,1.433642209005449,1.051695988604696,0.843720621033834,1.327178017141057,1.476231815616757,1.246276346265640,1.203053834327769,4.793913823746986,2.733997768832818,0.481401217804318,0.615130068647893,0.999999999999918,0.745811944619195,0.748138427246464,0.428652048561989,0.472645440945792,0.636961203183594,0.999999999720673,0.789008345185389,0.678174784351896,0.414028460910911,0.414332465961858,0.532750622536879,0.242755793432598,18.702034079071474,6.454705556923904,29.743034404292330,12.735178974071253,2.425470221377878,2.280333596958068,12.185626621132342,7.327549752754906,29.443301420777586,24.460169126502989,3.380635625936184,3.593952757341022,12.903922667951956,19.825535763261065,2.563552230078152,13.588817720589705
10,13.794670,21749,1050042,1.190485085573337,1.228352891879782,1.095572653436994,0.852425005431060,1.210842729380059,1.358280995579665,1.337686230912534,1.959252491356684,3.233247656715139,4.959745577651758,0.416103772990832,0.586497163489626,0.999999999999924,0.719680415785427,0.714891241238783,0.337153498142472,0.410359077475625,0.642266081282197,0.999999611314862,0.748639183589420,0.659464002064134,0.479687167637153,0.239959868238725,0.400419457181395,0.262874603064889,10.653534611236690,5.478082992661171,29.776196570163985,12.247620658022707,2.504644713540871,2.761677189859161,9.102218277445647,6.720910194464216,29.596514124425912,20.602743504249502,3.506868147589456,6.543896685753737,3.547228233378061,5.132657812152874,9.464587645179847,13.794670456557783
6,14.078651,22095,1050042,1.145111369908628,1.345854341298566,1.217007875085851,1.163673955590632,1.162428416580426,1.514060569090019,1.261876778324948,1.914520673149874,3.825569405300009,4.784355796313213,0.413271051873877,0.539835776229712,0.999999999999912,0.767922662165303,0.708528508644338,0.512220281002195,0.393006187004674,0.624563175454953,0.999722941452542,0.777549905769918,0.710052314080881,0.451921819328885,0.351319692671188,0.379853026867546,0.291627543097384,10.298814564832614,5.350892902220405,29.633111373133683,12.710180913472344,2.563374486115500,2.531012134869943,7.046431866793634,8.264779354477900,29.254722393265485,18.464871893912913,2.884841556081268,4.750254892582777,4.400080577264418,8.484445946792478,11.463160269806932,14.078650580740635
3,13.811842,22318,1050042,1.269607863797288,1.480080453038488,1.422847317617327,1.208471517948226,1.273342910310577,1.136805113886498,1.758457747387785,2.139953295131310,4.031714275756334,2.935406900876404,0.500616708089278,0.622717272085564,0.999999999999839,0.807231842738264,0.675248561901722,0.414793972199442,0.491987946632973,0.625389177120909,0.999806522445906,0.845819899855668,0.644865432264043,0.537112889080685,0.363368336120674,0.403485503958195,0.212602394263111,18.905437441911651,6.458889668919224,29.249657151889270,29.859561921458841,3.046908986335239,2.556268199518274,13.378382026047571,6.375818805221637,29.822319493573516,29.632793060167259,4.930870620173326,7.091303092993221,7.627673701654059,7.943701795953300,2.921560812494553,13.811841503885021
23,13.750638,22428,1050042,1.035507388298233,1.437567201279956,1.036601434448214,0.847249274756088,1.089013228363081,1.315284712709734,1.105944554037759,1.605420524992902,4.360378843543259,4.475030013411704,0.399848625903034,0.602717247875712,0.777132253586637,0.999999990225133,0.698628392304399,0.383178083745385,0.392384486829989,0.613202349833316,0.770607815098613,0.999822675590676,0.693585803513459,0.500581872378268,0.190229887654442,0.438407832546816,0.316408485470098,8.102809491571955,7.806695680589378,13.785335222119902,29.347021417436490,2.837976310617001,2.100443170980291,7.442317971154471,5.259725754409635,13.607523928890097,29.961850954040464,2.477918019760643,6.377691213708002,3.978941851349471,7.219437478170923,8.191531934339320,13.750638373891924
22,14.139844,22679,1050042,1.149729963763287,1.328644771531034,1.181549854489020,1.255053520176364,1.250832313229366,1.593540885157927,1.169117815454134,1.841233260823794,3.851938597184631,4.755469904059730,0.414361576388523,0.598588344436601,0.999999999999566,0.856658156661568,0.698123463692525,0.684044072008435,0.412123272651861,0.589066944682720,0.999949086914324,0.859945702459994,0.717184883818225,0.665481047781396,0.416967626859778,0.321675517502705,0.261629762967864,10.478843110218205,6.147959914164664,29.214574484017092,20.965088326088739,2.209672083974587,3.705379592790577,9.982530589093311,11.433131165168497,29.241965204670503,21.119653154547826,2.967282140594519,10.396230045989156,12.582929346182989,6.312912861927665,11.212527755064568,14.139843750377552
4,13.919738,22730,1050042,1.261939868926006,1.365694884349616,1.381360934941178,0.868493669427446,1.324673139793067,1.685325595681464,1.812322746213657,1.733883915798086,3.910763114684570,4.119813415283622,0.422681882950107,0.588890437412777,0.999999999999913,0.783341938819452,0.663871656435843,0.491689862647905,0.415023219722318,0.612302094635682,0.978182931966484,0.813053846166105,0.660121608720946,0.532164202347473,0.306989452788742,0.291239658733439,0.279502813787782,13.796603383707145,6.959986165745728,29.184159068381418,22.788320212414195,3.096723122515664,2.891294414435765,9.091742157815353,7.974465000197527,27.835264773329619,28.850543118169142,7.951895885178871,6.964572238379398,7.093632165755711,3.391560038532728,4.467044801724860,13.919737716267315
19,13.923688,22744,1050042,1.211659167245118,1.260665036001193,1.044562912696009,0.922461491791180,1.190943658451553,1.453000618683331,1.048212045351050,1.768318713960181,2.759353323038221,4.494856739679602,0.426119743019513,0.568856456139662,0.999999999999979,0.771317435969547,0.722211935681503,0.495302476255037,0.410501599750927,0.618744751561396,0.999999999999961,0.774008137425730,0.724552762895914,0.597421390353214,0.349790962935491,0.496993613763355,0.171038009764556,10.406619805835687,5.763095824955914,29.131819386379369,13.017296727270970,2.798569006354342,2.357603924979060,8.137534122938351,7.265539779231648,29.558318842045846,13.856018154291506,2.772083207506034,10.576118608434114,7.337685111101242,12.676943021126195,4.875110495700128,13.923687995590288
0,14.001378,22773,1050042,1.162437689921643,1.404629596146900,1.193982780943338,0.943616533251096,1.278788768705413,1.832686154425834,1.679190827774597,1.433848910857689,3.379581635414365,4.417528810693143,0.442974942516346,0.577858633004307,0.999999999999993,0.783241281420529,0.734776320285665,0.525652887647297,0.435720268956639,0.604823979992653,0.792741098826888,0.999884892276111,0.653303747065655,0.539587478050970,0.347634759020928,0.500438715565161,0.209221433133652,12.265542878471347,6.395155729790979,29.628117350825192,13.628559692062935,2.906210488037767,2.688236843062778,9.733281040365142,8.749572792262535,29.678827882502833,29.000774540335530,4.525490113785090,7.576262562242121,9.993901503288665,6.803200370082612,5.089690877006771,14.001377805262199
28,13.819522,22814,1050042,1.252058531634445,1.414727681986698,1.384013772888735,0.823481180972519,1.251009161031522,1.432973170564494,1.861255431883887,1.718431414164962,4.905006842407258,4.095771790900929,0.443364819634371,0.575330585425487,0.787698683315105,0.999997821317850,0.673832643510300,0.458449919984985,0.419428919936444,0.634494761510203,0.907688063654610,0.987351593098910,0.616046118132878,0.495390624451207,0.613512043557389,0.018341516366525,0.258152946058567,15.220011534218393,6.331543680329991,22.065344816346126,29.493384702284103,3.758755446626682,2.938784944004506,8.713293774783892,6.210430843003133,9.029524219389170,12.702357892974948,6.749998610382649,5.838355852211158,24.049729171610763,27.409222211219063,4.959518702287566,13.819521886136316
1,14.001378,22847,1050042,1.162437689921643,1.404629596146900,1.193982780943338,0.943616533251096,1.278788768705413,1.832686154425834,1.679190827774597,1.433848910857689,3.379581635414365,4.417528810693143,0.442974942516346,0.577858633004307,0.999999999999993,0.783241281420529,0.734776320285665,0.525652887647297,0.435720268956639,0.604823979992653,0.792741098826888,0.999884892276111,0.653303747065655,0.539587478050970,0.347634759020928,0.500438715565161,0.209221433133652,12.265542878471347,6.395155729790979,29.628117350825192,13.628559692062935,2.906210488037767,2.688236843062778,9.733281040365142,8.749572792262535,29.678827882502833,29.000774540335530,4.525490113785090,7.576262562242121,9.993901503288665,6.803200370082612,5.089690877006771,14.001377805262199
21,14.333589,22858,1050042,1.205121853812499,1.431213481041801,0.962871226142086,0.303018400809057,1.060607112026414,1.653366549134184,0.965548982765721,1.356714930531837,3.009782107256051,4.439529260141040,0.406686641999905,0.522936199187851,0.999999985055835,0.742932796450220,0.690962768928224,0.265980806260839,0.384500219094538,0.627494405364579,0.999904081913626,0.741362078576579,0.689018133414866,0.407125590552452,0.346348673360775,0.590793724825163,0.201980232499303,8.856505956532901,5.341118058330814,29.156177092142865,10.592151871314325,2.905626580116230,1.662836314164472,6.451900853768540,9.822314055064518,29.432033189705752,10.401966053234732,2.236365732991435,3.370776475059521,6.097232751953082,18.595868007201048,4.385389388780147,14.333589254298470
